"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
2,0.001,141.627272727273,0,1,10,100,8.6,2,5e+05,"150327_100.RData"
5,0.001,146.245454545455,0,1,10,100,9,2,5e+05,"150327_101.RData"
10,0.001,29.9818181818182,29.5545454545455,2,10,100,8.4,2,5e+05,"150327_102.RData"
2,0.001,144.781818181818,0,1,10,100,9,2,5e+05,"150327_103.RData"
5,0.001,20.3545454545455,31.3363636363636,2,10,100,9,2,5e+05,"150327_104.RData"
10,0.001,18.5818181818182,32.4363636363636,2,10,100,8.4,2,5e+05,"150327_105.RData"
2,0.001,143.381818181818,0,1,10,100,9,2,5e+05,"150327_106.RData"
10,0.001,98.8090909090909,10.6,2,10,100,9,2,5e+05,"150327_108.RData"
2,0.001,136.4,0,1,10,100,9,2,5e+05,"150327_10.RData"
5,0.001,147.090909090909,0,1,10,100,9,2,5e+05,"150327_110.RData"
10,0.001,140.136363636364,0,1,10,100,8.6,2,5e+05,"150327_111.RData"
2,0.001,146.954545454545,0,1,10,100,9,2,5e+05,"150327_112.RData"
5,0.001,116.136363636364,6.96363636363636,2,10,100,8.8,2,5e+05,"150327_113.RData"
2,0.001,137.545454545455,0,1,10,100,9,2,5e+05,"150327_115.RData"
5,0.001,148.009090909091,0,1,10,100,8.8,2,5e+05,"150327_116.RData"
10,0.001,144.454545454545,0,1,10,100,8.6,2,5e+05,"150327_117.RData"
5,0.001,47.4090909090909,26.6363636363636,2,10,100,9,2,5e+05,"150327_119.RData"
5,0.001,149.7,0,1,10,100,9,2,5e+05,"150327_11.RData"
10,0.001,18.8545454545455,32.1727272727273,2,10,100,8.8,2,5e+05,"150327_120.RData"
2,0.001,141.254545454545,0,1,10,100,8.8,2,5e+05,"150327_121.RData"
10,0.001,17.6272727272727,29.2636363636364,2,10,100,9,2,5e+05,"150327_123.RData"
2,0.001,146.409090909091,0,1,10,100,9,2,5e+05,"150327_124.RData"
5,0.001,145.2,0,1,10,100,8.4,2,5e+05,"150327_125.RData"
2,0.001,137.309090909091,0,1,10,100,8,2,5e+05,"150327_127.RData"
5,0.001,139.827272727273,0,1,10,100,8.4,2,5e+05,"150327_128.RData"
10,0.001,142.790909090909,0,1,10,100,8.6,2,5e+05,"150327_129.RData"
2,0.001,143.354545454545,0,1,10,100,8.6,2,5e+05,"150327_130.RData"
5,0.001,137.072727272727,0,1,10,100,8.4,2,5e+05,"150327_131.RData"
10,0.001,73.4545454545455,19.4,2,10,100,7.8,2,5e+05,"150327_132.RData"
10,0.001,3.63636363636364,37.5545454545455,2,10,100,8.4,2,5e+05,"150327_135.RData"
2,0.001,143.972727272727,0,1,10,100,8.8,2,5e+05,"150327_136.RData"
5,0.001,74.9,18.7,2,10,100,9,2,5e+05,"150327_137.RData"
10,0.001,90.3272727272727,15.1545454545455,2,10,100,9,2,5e+05,"150327_138.RData"
2,0.001,143.663636363636,0,1,10,100,8.8,2,5e+05,"150327_139.RData"
2,0.001,145.890909090909,0,1,10,100,9,2,5e+05,"150327_13.RData"
5,0.001,144.145454545455,0,1,10,100,8.6,2,5e+05,"150327_140.RData"
10,0.001,138.645454545455,0,1,10,100,8.6,2,5e+05,"150327_141.RData"
2,0.001,144.145454545455,0,1,10,100,8.8,2,5e+05,"150327_142.RData"
