"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
2,0.01,148.427272727273,0,1,10,40,2,2,5e+05,"150405_0001.RData"
5,0.01,135.681818181818,0,1,10,100,9,2,5e+05,"150405_0002.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0003.RData"
2,0.01,145.036363636364,0,1,10,100,9,2,5e+05,"150405_0004.RData"
5,0.01,146.254545454545,0,1,10,40,2,2,5e+05,"150405_0005.RData"
10,0.01,0,0,0,10,100,9,2,5e+05,"150405_0006.RData"
2,0.01,142.190909090909,0,1,10,40,2,2,5e+05,"150405_0007.RData"
5,0.01,151.545454545455,0,1,10,100,9,2,5e+05,"150405_0008.RData"
10,0.01,4.23636363636364,35.0727272727273,2,10,40,2,2,5e+05,"150405_0009.RData"
2,0.01,135.327272727273,0,1,10,100,9,2,5e+05,"150405_0010.RData"
5,0.01,7.20909090909091,35.9181818181818,2,10,40,2,2,5e+05,"150405_0011.RData"
10,0.01,4.16363636363636,35.1545454545455,2,10,100,9,2,5e+05,"150405_0012.RData"
2,0.01,145.2,0,1,10,40,2,2,5e+05,"150405_0013.RData"
5,0.01,0,0,0,10,100,9,2,5e+05,"150405_0014.RData"
10,0.01,4.54545454545454,35.4545454545455,2,10,40,2,2,5e+05,"150405_0015.RData"
2,0.01,134.672727272727,0,1,10,100,9,2,5e+05,"150405_0016.RData"
5,0.01,0,0,0,10,40,2,2,5e+05,"150405_0017.RData"
10,0.01,141.236363636364,0,1,10,100,9,2,5e+05,"150405_0018.RData"
2,0.01,16.3,33.4636363636364,2,10,40,2,2,5e+05,"150405_0019.RData"
5,0.01,143.1,0,1,10,100,9,2,5e+05,"150405_0020.RData"
10,0.01,144.336363636364,0,1,10,40,2,2,5e+05,"150405_0021.RData"
2,0.01,17.0181818181818,31.4181818181818,2,10,100,9,2,5e+05,"150405_0022.RData"
5,0.01,7.69090909090909,36.4909090909091,2,10,40,2,2,5e+05,"150405_0023.RData"
