"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents"
"1",0.1,1e-03,1,144.666666666667,0,10,2,9,100,8e+05
"2",0.2,1e-03,1,138.866666666667,0,10,2,9,100,8e+05
"3",0.4,1e-03,2,129.566666666667,5.23333333333333,10,2,9,100,8e+05
"4",0.6,1e-03,2,82.6666666666667,15.9666666666667,10,2,9,100,8e+05
"5",0.1,1e-03,1,137.766666666667,0,10,2,9,100,8e+05
"6",0.2,1e-03,1,150.766666666667,0,10,2,9,100,8e+05
"7",0.4,1e-03,2,122.7,4.4,10,2,9,100,8e+05
"8",0.6,1e-03,2,69.3,16.7333333333333,10,2,9,100,8e+05
"9",0.1,1e-03,1,135.4,0,10,2,9,100,8e+05
"10",0.2,1e-03,2,142.466666666667,0,10,2,9,100,8e+05
"11",0.4,1e-03,2,114.833333333333,5.13333333333333,10,2,9,100,8e+05
"12",0.6,1e-03,2,70.9,17.5333333333333,10,2,9,100,8e+05
"13",0.1,1e-03,1,141.4,0,10,2,9,100,8e+05
"14",0.2,1e-03,1,136.633333333333,0,10,2,9,100,8e+05
"15",0.4,1e-03,2,122.966666666667,3.46666666666667,10,2,9,100,8e+05
"16",0.6,1e-03,2,102.033333333333,10.8333333333333,10,2,9,100,8e+05
"17",0.1,1e-03,1,139.133333333333,0,10,2,9,100,8e+05
"18",0.2,1e-03,1,137.733333333333,0,10,2,9,100,8e+05
"19",0.4,1e-03,2,109,9.93333333333333,10,2,9,100,8e+05
"20",0.6,1e-03,2,120.5,4.9,10,2,9,100,8e+05
"21",0.1,1e-03,1,143.3,0,10,2,9,100,8e+05
"22",0.2,1e-03,2,136.933333333333,2.26666666666667,10,2,9,100,8e+05
"23",0.4,1e-03,2,90.3333333333333,11.0333333333333,10,2,9,100,8e+05
"24",0.6,1e-03,2,79.5,15.9666666666667,10,2,9,100,8e+05
"25",0.1,1e-03,1,143.9,0,10,2,9,100,8e+05
"26",0.2,1e-03,1,139,0,10,2,9,100,8e+05
"27",0.4,1e-03,2,130.966666666667,3.26666666666667,10,2,9,100,8e+05
"28",0.6,1e-03,2,79.1666666666667,16.0333333333333,10,2,9,100,8e+05
"29",0.1,1e-03,1,144.566666666667,0,10,2,9,100,8e+05
"30",0.2,1e-03,1,138.4,0,10,2,9,100,8e+05
"31",0.4,1e-03,2,116.1,7.8,10,2,9,100,8e+05
"32",0.6,1e-03,2,77.3,18.5666666666667,10,2,9,100,8e+05
"33",0.1,1e-03,1,132.4,0,10,2,9,100,8e+05
"34",0.2,1e-03,2,143.4,1.6,10,2,9,100,8e+05
"35",0.4,1e-03,2,121.6,5,10,2,9,100,8e+05
"36",0.6,1e-03,2,49.5666666666667,22.9666666666667,10,2,9,100,8e+05
"37",0.1,1e-03,1,139.433333333333,0,10,2,9,100,8e+05
"38",0.2,1e-03,1,147.733333333333,0,10,2,9,100,8e+05
"39",0.4,1e-03,2,129.933333333333,2.16666666666667,10,2,9,100,8e+05
"40",0.6,1e-03,2,70.9333333333333,17.9333333333333,10,2,9,100,8e+05
"41",0.1,1e-03,1,141.733333333333,0,10,2,9,100,8e+05
"42",0.2,1e-03,2,139.8,2.03333333333333,10,2,9,100,8e+05
"43",0.4,1e-03,2,137.366666666667,2.63333333333333,10,2,9,100,8e+05
"44",0.6,1e-03,1,136.4,0,10,2,9,100,8e+05
"45",0.1,1e-03,1,137.466666666667,0,10,2,9,100,8e+05
"46",0.2,1e-03,2,140.166666666667,2.3,10,2,9,100,8e+05
"47",0.4,1e-03,2,100.333333333333,10,10,2,9,100,8e+05
"48",0.6,1e-03,2,106.866666666667,9.5,10,2,9,100,8e+05
"49",0.1,1e-03,1,141.7,0,10,2,9,100,8e+05
"50",0.2,1e-03,1,144.833333333333,0,10,2,9,100,8e+05
"51",0.4,1e-03,2,86.6,14.2666666666667,10,2,9,100,8e+05
"52",0.6,1e-03,2,87.5333333333333,12.5,10,2,9,100,8e+05
"53",0.1,1e-03,1,143.1,0,10,2,9,100,8e+05
"54",0.2,1e-03,1,144.7,0,10,2,9,100,8e+05
"55",0.4,1e-03,2,120.8,5.56666666666667,10,2,9,100,8e+05
"56",0.6,1e-03,2,68.5333333333333,19.0333333333333,10,2,9,100,8e+05
"57",0.1,1e-03,1,133.433333333333,0,10,2,9,100,8e+05
"58",0.2,1e-03,2,126.633333333333,4.66666666666667,10,2,9,100,8e+05
"59",0.4,1e-03,2,77.3,14.6333333333333,10,2,9,100,8e+05
"60",0.6,1e-03,2,114.7,6,10,2,9,100,8e+05
"61",0.1,1e-03,1,137.1,0,10,2,9,100,8e+05
"62",0.2,1e-03,2,134,3.6,10,2,9,100,8e+05
"63",0.4,1e-03,2,61.2666666666667,21.6666666666667,10,2,9,100,8e+05
"64",0.6,1e-03,1,148.533333333333,0,10,2,9,100,8e+05
"65",0.1,1e-03,1,139.033333333333,0,10,2,9,100,8e+05
"66",0.2,1e-03,2,128.166666666667,2.33333333333333,10,2,9,100,8e+05
"67",0.4,1e-03,2,117.466666666667,4.53333333333333,10,2,9,100,8e+05
"68",0.6,1e-03,2,91.2333333333333,15.7,10,2,9,100,8e+05
"69",0.1,1e-03,1,142.1,0,10,2,9,100,8e+05
"70",0.2,1e-03,1,140.366666666667,0,10,2,9,100,8e+05
"71",0.4,1e-03,2,79.0333333333333,16.9333333333333,10,2,9,100,8e+05
"72",0.6,1e-03,2,80.0333333333333,17,10,2,9,100,8e+05
"73",0.1,1e-03,1,134.033333333333,0,10,2,9,100,8e+05
"74",0.2,1e-03,1,142.966666666667,0,10,2,9,100,8e+05
"75",0.4,1e-03,2,120.433333333333,4.33333333333333,10,2,9,100,8e+05
"76",0.6,1e-03,2,123.066666666667,5.03333333333333,10,2,9,100,8e+05
"77",0.1,1e-03,1,136.9,0,10,2,9,100,8e+05
"78",0.2,1e-03,2,118.966666666667,4.93333333333333,10,2,9,100,8e+05
"79",0.4,1e-03,2,135.9,3.16666666666667,10,2,9,100,8e+05
"80",0.6,1e-03,2,60.5333333333333,20.4666666666667,10,2,9,100,8e+05
"81",0.1,1e-03,1,143.666666666667,0,10,2,9,100,8e+05
"82",0.2,1e-03,1,149.1,0,10,2,9,100,8e+05
"83",0.4,1e-03,2,97.4666666666667,7.93333333333333,10,2,9,100,8e+05
"84",0.6,1e-03,2,62.3666666666667,21.6666666666667,10,2,9,100,8e+05
"85",0.1,1e-03,1,137.1,0,10,2,9,100,8e+05
"86",0.2,1e-03,2,141.7,2.1,10,2,9,100,8e+05
"87",0.4,1e-03,2,122.433333333333,4.16666666666667,10,2,9,100,8e+05
"88",0.6,1e-03,2,51,23.2333333333333,10,2,9,100,8e+05
"89",0.1,1e-03,1,138.2,0,10,2,9,100,8e+05
"90",0.2,1e-03,1,151.666666666667,0,10,2,9,100,8e+05
"91",0.4,1e-03,2,122.6,3.83333333333333,10,2,9,100,8e+05
"92",0.6,1e-03,2,90.4,12.5666666666667,10,2,9,100,8e+05
"93",0.1,1e-03,1,143.3,0,10,2,9,100,8e+05
"94",0.2,1e-03,1,141.2,0,10,2,9,100,8e+05
"95",0.4,1e-03,2,74.8666666666667,21.6333333333333,10,2,9,100,8e+05
"96",0.6,1e-03,2,63.6666666666667,22.0333333333333,10,2,9,100,8e+05
"97",0.1,1e-03,1,142.333333333333,0,10,2,9,100,8e+05
"98",0.2,1e-03,1,144.233333333333,0,10,2,9,100,8e+05
"99",0.4,1e-03,2,132.133333333333,2.5,10,2,9,100,8e+05
"100",0.6,1e-03,2,79.9666666666667,15.8666666666667,10,2,9,100,8e+05
"101",0.1,1e-03,1,144.033333333333,0,10,2,9,100,8e+05
"102",0.2,1e-03,1,144.1,0,10,2,9,100,8e+05
"103",0.4,1e-03,2,117.866666666667,6.1,10,2,9,100,8e+05
"104",0.6,1e-03,2,55.2666666666667,25.5333333333333,10,2,9,100,8e+05
"105",0.1,1e-03,1,129.1,0,10,2,9,100,8e+05
"106",0.2,1e-03,1,145.133333333333,0,10,2,9,100,8e+05
