"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents","path2","extinctionTime","totalTime","survivalTime"
"1",0.1,0,1,69.8333333333333,0,2,2,1,120,8e+05,142,NA,1377.52274745531,NA
"2",0.2,0,1,57,0,2,2,1,120,8e+05,121,NA,1697.2743282889,NA
"3",0.3,0,1,93.1666666666667,0,2,2,1,120,8e+05,178,NA,1176.14346233482,NA
"4",0.4,0,2,26,10.1666666666667,2,2,1,120,8e+05,61,NA,1140.11349781676,NA
"5",0.1,0,1,73.8333333333333,0,2,2,1,120,8e+05,142,NA,1247.63682231135,NA
"6",0.2,0,1,69,0,2,2,1,120,8e+05,140,NA,1527.28050552839,NA
"7",0.3,0,2,34,12.6666666666667,2,2,1,120,8e+05,77,NA,1194.2755636786,NA
"8",0.4,0,1,73.8333333333333,0,2,2,1,120,8e+05,152,NA,1324.99998040737,NA
"9",0.1,0,1,87,0,2,2,1,120,8e+05,170,NA,1190.31781711018,NA
"10",0.2,0,1,52.3333333333333,0,2,2,1,120,8e+05,103,NA,1484.22932479405,NA
"11",0.3,0,1,57.3333333333333,0,2,2,1,120,8e+05,107,NA,1570.03803239526,NA
"12",0.4,0,1,66.1666666666667,0,2,2,1,120,8e+05,129,NA,1487.93924702797,NA
"13",0.1,0,1,65.8333333333333,0,2,2,1,120,8e+05,137,NA,1520.1896124303,NA
"14",0.2,0,1,69.8333333333333,0,2,2,1,120,8e+05,135,NA,1471.98998271958,NA
"15",0.3,0,1,44.5,0,2,2,1,120,8e+05,0,584.36956751813,1700.54462500347,26.6105412168635
"16",0.4,0,2,24.3333333333333,16.5,2,2,1,120,8e+05,52,NA,1094.49493629502,NA
"17",0.1,0,1,67.5,0,2,2,1,120,8e+05,129,NA,1357.97911511896,NA
"18",0.2,0,1,63,0,2,2,1,120,8e+05,117,NA,1492.7406911982,NA
"19",0.3,0,2,31.5,14.3333333333333,2,2,1,120,8e+05,68,NA,1191.11955001186,NA
"20",0.4,0,2,26.6666666666667,7.5,2,2,1,120,8e+05,36,NA,1281.10404327731,NA
"21",0.1,0,1,103.333333333333,0,2,2,1,120,8e+05,212,NA,1237.57284483959,NA
"22",0.2,0,1,79,0,2,2,1,120,8e+05,174,NA,1111.83310516623,NA
