binomial,Body Mass grams,notes,reference,bibtex key
Eumops patagonicus,,,,
Hipposideros abae,,,,
Histiotus montanus,12.5,Table 1,"Canals, Mauricio, et al. ""Relative size of hearts and lungs of small bats."" Acta Chiropterologica 7.1 (2005): 65-72.",canals2005relative
Lasiurus blossevillii,22,Appendix,"Arita, Hector T. ""Rarity in Neotropical bats: correlations with phylogeny, diet, and body mass."" Ecological Applications (1993): 506-517.",arita1993rarity
Lasiurus egregius,14.2,Table 1,"López-Baucells, Adrià, et al. ""Echolocation of the big red bat Lasiurus egregius (Chiroptera: Vespertilionidae) and first record from the Central Brazilian Amazon."" Studies on Neotropical Fauna and Environment 49.1 (2014): 18-25.",lopez2014echolocation
Lasiurus xanthinus,7.18,Table 1,"Orr, Teri J., and Marlene Zuk. ""Does delayed fertilization facilitate sperm competition in bats?."" Behavioral Ecology and Sociobiology 67.12 (2013): 1903-1913.",orr2013does
Molossops neglectus,11,Appendix 1,"Lim, Burton K., and Mark D. Engstrom. ""Bat community structure at Iwokrama forest, Guyana."" Journal of Tropical Ecology 17.05 (2001): 647-665.",lim2001bat
Molossus rufus,120,Appendix,"Arita, Hector T. ""Rarity in Neotropical bats: correlations with phylogeny, diet, and body mass."" Ecological Applications (1993): 506-517.",arita1993rarity
Myotis mystacinus,5.9,Table 1,"Aldridge, H. D. ""Turning flight of bats."" Journal of Experimental Biology 128.1 (1987): 419-425.",aldridge1987turning
Myotis nigricans,11,Appendix,"Arita, Hector T. ""Rarity in Neotropical bats: correlations with phylogeny, diet, and body mass."" Ecological Applications (1993): 506-517.",arita1993rarity
Myotis ricketti,22.5,Table 1,"Ma, Jie, et al. ""Dietary analysis confirms that Rickett's big-footed bat (Myotis ricketti) is a piscivore."" Journal of Zoology 261.03 (2003): 245-248.",ma2003dietary
Myotis septentrionalis,8.72,Table 1,"Owen, Sheldon F., et al. ""Home-range size and habitat used by the northern myotis (Myotis septentrionalis)."" The American midland naturalist 150.2 (2003): 352-359.",owen2003home
Myotis septentrionalis,6.92,Appendix 1,"Henderson, Lynne E., and Hugh G. Broders. ""Movements and Resource Selection of the Northern Long-Eared Myotis (Myotis septentrionalis) in a Forest—Agriculture Landscape."" Journal of Mammalogy 89.4 (2008): 952-963.",henderson2008movements
Nyctalus plancyi,19.7,Table 2. Luzon specimens only.,"Heaney, Lawrence R., et al. ""Nyctalus plancyi and Falsistrellus petersi (Chiroptera: Vespertilionidae) from northern Luzon, Philippines: ecology, phylogeny, and biogeographic implications."" Acta Chiropterologica 14.2 (2012): 265-278.",heaney2012nyctalus
Pipistrellus pygmaeus,5.3,Used value for Pipistrellus pipistrellus from pantheria. Species are indistinguishable by mass.,"Jones, Kate E., et al. ""PanTHERIA: a species-level database of life history, ecology, and geography of extant and recently extinct mammals: Ecological Archives E090-184."" Ecology 90.9 (2009): 2648-2648.",jones2009pantheria
Pteropus capistratus,,,,
Pteropus rufus,792,Table 1. Adult only.,"Oleksy, Ryszard, Paul A. Racey, and Gareth Jones. ""High-resolution GPS tracking reveals habitat selection and the potential for long-distance seed dispersal by Madagascan flying foxes Pteropus rufus."" Global Ecology and Conservation 3 (2015): 678-692.",oleksy2015high
Rhinolophus sinicus,11.4,Mean of range ,"Zhang, Libiao, et al. ""Recent surveys of bats (Mammalia: Chiroptera) from China. I. Rhinolophidae and Hipposideridae."" Acta Chiropterologica 11.1 (2009): 71-88.",zhang2009recent
