"","scholarRefs","Nm","mass","distrSize","rand","AIC","boot","lambda","attempt","predictors","beta.(Intercept)","beta.scholarRefs","beta.Nm","beta.mass","beta.distrSize","beta.rand","dAIC","weight"
"1",FALSE,FALSE,FALSE,FALSE,FALSE,136.617444407791,1,NA,5,"1",3.75,NA,NA,NA,NA,NA,63.2135021354974,1.876551409509e-14
"2",TRUE,FALSE,FALSE,FALSE,FALSE,128.15675100404,1,0.131477220391953,1,"scholarRefs",3.66619011543669,2.80422408329174,NA,NA,NA,NA,54.7528087317456,1.28996134343234e-12
"3",FALSE,TRUE,FALSE,FALSE,FALSE,137.321643734932,1,-0.208600101892575,2,"Nm",3.76799394542676,NA,0.608319012355913,NA,NA,NA,63.9177014626384,1.31960978059798e-14
"4",FALSE,FALSE,TRUE,FALSE,FALSE,107.157736892602,1,-3.90835861870758,1,"mass",4.17529155363807,NA,NA,-0.776088290675359,NA,NA,33.7537946203077,4.68225080397985e-08
"5",FALSE,FALSE,FALSE,TRUE,FALSE,106.19343129879,1,-0.175794896345953,1,"distrSize",4.04388988813607,NA,NA,NA,0.562656609812805,NA,32.7894890264957,7.58317314099868e-08
"6",FALSE,FALSE,FALSE,FALSE,TRUE,108.823170184937,1,-0.175794896345937,2,"rand",3.86055702963163,NA,NA,NA,NA,0.584273920430553,35.4192279126429,2.03615309357273e-08
"7",TRUE,TRUE,FALSE,FALSE,FALSE,131.264771041778,1,0.084648240595719,1,"scholarRefs + Nm",3.70497441134184,2.73123946995937,0.226569442490947,NA,NA,NA,57.8608287694837,2.72695970029526e-13
"8",TRUE,FALSE,TRUE,FALSE,FALSE,127.422250225484,1,NA,5,"scholarRefs + mass",3.75,2.61373035952079,NA,0.589400017141822,NA,NA,54.0183079531899,1.86239378390754e-12
"9",TRUE,FALSE,FALSE,TRUE,FALSE,130.240742371743,1,0.229633632947937,1,"scholarRefs + distrSize",3.59164545842323,2.29092599851813,NA,NA,0.903831605491134,NA,56.8368000994489,4.55033865896812e-13
"10",TRUE,FALSE,FALSE,FALSE,TRUE,131.311265483913,1,0.117388307747651,1,"scholarRefs + rand",3.67151769032684,2.75250027789955,NA,NA,NA,0.162183982144149,57.9073232116195,2.66429665816987e-13
"11",FALSE,TRUE,TRUE,FALSE,FALSE,109.585987209432,1,-3.91659054556536,1,"Nm + mass",3.94414178240116,NA,-0.537106188473088,-0.554046077769835,NA,NA,36.1820449371382,1.39048662655332e-08
"12",FALSE,TRUE,FALSE,TRUE,FALSE,135.256771049279,1,-0.0826644354212532,1,"Nm + distrSize",3.80185151820316,NA,0.583333144898284,NA,1.9667714204439,NA,61.8528287769853,3.70533033849568e-14
"13",FALSE,TRUE,FALSE,FALSE,TRUE,100.258519895632,1,-6.01999473387226,3,"Nm + rand",5.12599021919132,NA,1.52712685630592,NA,NA,1.2877759450356,26.8545776233377,1.47435004885127e-06
"14",FALSE,FALSE,TRUE,TRUE,FALSE,130.406024373184,1,NA,5,"mass + distrSize",3.75,NA,NA,1.0207299471303,2.48402640473478,NA,57.0020821008902,4.18941313138188e-13
"15",FALSE,FALSE,TRUE,FALSE,TRUE,98.9355383723167,1,-6.14889934753039,1,"mass + rand",4.45541555805303,NA,NA,1.50799884264793,NA,1.60168136660374,25.5315961000228,2.8568168328639e-06
"16",FALSE,FALSE,FALSE,TRUE,TRUE,110.175274821066,1,-0.175794896345944,1,"distrSize + rand",4.04272244123835,NA,NA,NA,0.578066700225665,-0.0397730824199409,36.771332548772,1.03563003512261e-08
"17",TRUE,TRUE,TRUE,FALSE,FALSE,73.4039422722939,1,-7.68338457849382,2,"scholarRefs + Nm + mass",2.48053387588748,2.55119680681801,-0.680771780031907,-0.304987158984153,NA,NA,0,0.999995501547437
"18",TRUE,TRUE,FALSE,TRUE,FALSE,133.754924951848,1,0.180103681980871,1,"scholarRefs + Nm + distrSize",3.64028757046725,2.22395582970717,0.201231445767756,NA,0.905130760517768,NA,60.3509826795539,7.85142829520126e-14
"19",TRUE,TRUE,FALSE,FALSE,TRUE,134.822694037115,1,0.0804270372474892,1,"scholarRefs + Nm + rand",3.70437686107906,2.69780804603797,0.204384352931483,NA,NA,0.135064582522416,61.4187517648209,4.60347255078198e-14
