"","scholarRefs","Nm","mass","distrSize","rand","AIC","boot","lambda","attempt","predictors","beta.(Intercept)","beta.scholarRefs","beta.Nm","beta.mass","beta.distrSize","beta.rand","dAIC","weight"
"1",FALSE,FALSE,FALSE,FALSE,FALSE,136.227834018181,1,NA,5,"1",3.75,NA,NA,NA,NA,NA,30.1813005713737,1.19632944319937e-07
"2",TRUE,FALSE,FALSE,FALSE,FALSE,126.561559225765,1,0.169622520547617,1,"scholarRefs",3.65091428722746,2.8363185435052,NA,NA,NA,NA,20.515025778958,1.50264258585739e-05
"3",FALSE,TRUE,FALSE,FALSE,FALSE,135.907566812194,1,-0.229342312695814,3,"Nm",3.85344739702874,NA,0.55533590680213,NA,NA,NA,29.8610333653872,1.40409318540363e-07
"4",FALSE,FALSE,TRUE,FALSE,FALSE,123.088212844571,1,-1.94333258646972,1,"mass",3.30089360108018,NA,NA,0.960729754103062,NA,NA,17.0416793977637,8.53263712517031e-05
"5",FALSE,FALSE,FALSE,TRUE,FALSE,131.219661584977,1,-0.0414502703884683,1,"distrSize",3.79807317250069,NA,NA,NA,2.08545334577247,NA,25.1731281381697,1.46339517066818e-06
"6",FALSE,FALSE,FALSE,FALSE,TRUE,107.240236308175,1,-0.191269241293482,4,"rand",3.89045632506037,NA,NA,NA,NA,0.636428606366445,1.19370286136829,0.235736947659676
"7",TRUE,TRUE,FALSE,FALSE,FALSE,129.085575358744,1,0.116354539368295,1,"scholarRefs + Nm",3.68990537116612,2.76451176410953,0.21373445392608,NA,NA,NA,23.0390419119373,4.25375579220424e-06
"8",TRUE,FALSE,TRUE,FALSE,FALSE,124.222892320244,1,-0.635592595096042,2,"scholarRefs + mass",2.94011138941142,2.04709797128437,NA,0.714140786121365,NA,NA,18.1763588734366,4.83827733454535e-05
"9",TRUE,FALSE,FALSE,TRUE,FALSE,127.961479064751,1,0.307332469382432,1,"scholarRefs + distrSize",3.55350134222266,2.32507753987462,NA,NA,0.932158089192728,NA,21.9149456179443,7.46220133269709e-06
"10",TRUE,FALSE,FALSE,FALSE,TRUE,129.140989694516,1,0.148683357805766,1,"scholarRefs + rand",3.65597525108952,2.78373195630028,NA,NA,NA,0.13453652294079,23.0944562477085,4.13751406716543e-06
"11",FALSE,TRUE,TRUE,FALSE,FALSE,120.152964832606,1,-2.8070206927077,1,"Nm + mass",3.11838335575033,NA,-1.53078770450547,0.551665526550964,NA,NA,14.1064313857986,3.7022375702642e-04
"12",FALSE,TRUE,FALSE,TRUE,FALSE,133.170331400769,1,-0.0807010092789142,1,"Nm + distrSize",3.81902515513667,NA,0.551970526142603,NA,2.01608176249685,NA,27.123797953962,5.517966366175e-07
"13",FALSE,TRUE,FALSE,FALSE,TRUE,140.385472973637,1,NA,5,"Nm + rand",3.75,NA,0.132181979479704,NA,NA,0.69278109648004,34.3389395268294,1.4963423351708e-08
"14",FALSE,FALSE,TRUE,TRUE,FALSE,106.046533446807,1,-3.6053564759516,1,"mass + distrSize",1.80215306138623,NA,NA,0.362514173138249,4.01802926698315,NA,0,0.428190412423759
"15",FALSE,FALSE,TRUE,FALSE,TRUE,106.534505257917,1,-4.45916675486136,1,"mass + rand",4.21068482077169,NA,NA,1.5640013660141,NA,1.76562849690655,0.4879718111101,0.335486621708329
"16",FALSE,FALSE,FALSE,TRUE,TRUE,133.833475603827,1,-0.0424531349944126,1,"distrSize + rand",3.80005445320011,NA,NA,NA,2.05713875290838,0.0835492300142804,27.7869421570195,3.96076535855912e-07
"17",TRUE,TRUE,TRUE,FALSE,FALSE,129.178174269011,1,NA,5,"scholarRefs + Nm + mass",3.75,2.61989491971751,0.286827171537456,0.576238887426108,NA,NA,23.1316408222036,4.0612989195447e-06
"18",TRUE,TRUE,FALSE,TRUE,FALSE,130.80875315614,1,0.246029380138402,1,"scholarRefs + Nm + distrSize",3.60156833296181,2.26222203883832,0.168801637872509,NA,0.925139752737393,NA,24.7622197093333,1.79717036727437e-06
"19",TRUE,TRUE,FALSE,FALSE,TRUE,131.955155677792,1,0.10568720497567,1,"scholarRefs + Nm + rand",3.69069671837069,2.72685951096206,0.199453394988989,NA,NA,0.114982491589921,25.9086222309846,1.01309717538084e-06
"20",TRUE,FALSE,TRUE,TRUE,FALSE,128.006406634075,1,NA,5,"scholarRefs + mass + distrSize",3.75,1.85711663735517,NA,0.808752593839641,1.05753241648469,NA,21.9598731872679,7.29644082351758e-06
"21",TRUE,FALSE,TRUE,FALSE,TRUE,125.510005797655,1,-0.629812528146759,2,"scholarRefs + mass + rand",3.03674868643404,1.93795843599213,NA,0.789543823397625,NA,0.819927151362337,19.463472350848,2.54212919607473e-05
"22",TRUE,FALSE,FALSE,TRUE,TRUE,130.848649281388,1,0.335523662706374,1,"scholarRefs + distrSize + rand",3.54457572920118,2.34544537417107,NA,NA,0.963727824100172,-0.0848451934001238,24.8021158345807,1.76167550413605e-06
"23",FALSE,TRUE,TRUE,TRUE,FALSE,131.850395294237,1,NA,5,"Nm + mass + distrSize",3.75,NA,0.460992534712073,1.01124813749467,2.52939031663746,NA,25.8038618474298,1.06757779650778e-06
"24",FALSE,TRUE,TRUE,FALSE,TRUE,142.910845224798,1,NA,5,"Nm + mass + rand",3.75,NA,0.0909390041838942,0.488707185565727,NA,0.800774574412891,36.8643117779904,4.23304949641522e-09
"25",FALSE,TRUE,FALSE,TRUE,TRUE,136.074339803601,1,-0.0807685303385757,1,"Nm + distrSize + rand",3.81839219755925,NA,0.556465704850388,NA,2.02406298609391,-0.0247505976023535,30.0278063567937,1.29175941803222e-07
"26",FALSE,FALSE,TRUE,TRUE,TRUE,132.294456373454,1,NA,5,"mass + distrSize + rand",3.75,NA,NA,1.05027292493577,2.42818209262872,0.217936342423752,26.2479229266469,8.55013347673959e-07
"27",TRUE,TRUE,TRUE,TRUE,FALSE,130.803230914281,1,NA,5,"scholarRefs + Nm + mass + distrSize",3.75,1.81671984655919,0.372027924726103,0.805711652058266,1.12517148104594,NA,24.7566974674739,1.80213942892276e-06
"28",TRUE,TRUE,TRUE,FALSE,TRUE,132.214858010292,1,NA,5,"scholarRefs + Nm + mass + rand",3.75,2.56784766993485,0.23889940331975,0.628771705459246,NA,0.267754645765383,26.1683245634847,8.89728412542602e-07
"29",TRUE,TRUE,FALSE,TRUE,TRUE,134.018675827065,1,0.266535603050648,1,"scholarRefs + Nm + distrSize + rand",3.59610603529804,2.27788203829259,0.172307494833494,NA,0.955150650199275,-0.0834446006024209,27.9721423802583,3.61046714613967e-07
"30",TRUE,FALSE,TRUE,TRUE,TRUE,131.117997530603,1,NA,5,"scholarRefs + mass + distrSize + rand",3.75,1.85386507481488,NA,0.836666492420745,1.00796667347822,0.203180845279508,25.0714640837957,1.53970558961264e-06
"31",FALSE,TRUE,TRUE,TRUE,TRUE,135.0445141408,1,NA,5,"Nm + mass + distrSize + rand",3.75,NA,0.436669494020879,1.02823869867745,2.4958256716114,0.121647556041391,28.9979806939932,2.16174985215759e-07
"32",TRUE,TRUE,TRUE,TRUE,TRUE,134.36681372543,1,NA,5,"scholarRefs + Nm + mass + distrSize + rand",3.75,1.8174488974049,0.346589961560704,0.82337360782786,1.08955404830369,0.127045096130011,28.3202802786232,3.03365516674407e-07
"33",FALSE,FALSE,FALSE,FALSE,FALSE,136.227834018181,2,NA,5,"1",3.75,NA,NA,NA,NA,NA,30.1813005713737,2.49443191424426e-07
"34",TRUE,FALSE,FALSE,FALSE,FALSE,126.561559225765,2,0.169622520547617,1,"scholarRefs",3.65091428722746,2.8363185435052,NA,NA,NA,NA,20.515025778958,3.13311658688363e-05
"35",FALSE,TRUE,FALSE,FALSE,FALSE,135.907566812194,2,-0.229342312695814,3,"Nm",3.85344739702874,NA,0.55533590680213,NA,NA,NA,29.8610333653872,2.9276340828636e-07
"36",FALSE,FALSE,TRUE,FALSE,FALSE,123.088212844571,2,-1.94333258646972,1,"mass",3.30089360108018,NA,NA,0.960729754103062,NA,NA,17.0416793977637,1.77911548350509e-04
"37",FALSE,FALSE,FALSE,TRUE,FALSE,131.219661584977,2,-0.0414502703884683,1,"distrSize",3.79807317250069,NA,NA,NA,2.08545334577247,NA,25.1731281381697,3.0512829368334e-06
"38",FALSE,FALSE,FALSE,FALSE,TRUE,136.121725899837,2,NA,5,"rand",3.75,NA,NA,NA,NA,1.21627091412832,30.0751924530301,2.63034514854794e-07
"39",TRUE,TRUE,FALSE,FALSE,FALSE,129.085575358744,2,0.116354539368295,1,"scholarRefs + Nm",3.68990537116612,2.76451176410953,0.21373445392608,NA,NA,NA,23.0390419119373,8.86938314842374e-06
"40",TRUE,FALSE,TRUE,FALSE,FALSE,124.222892320244,2,-0.635592595096042,2,"scholarRefs + mass",2.94011138941142,2.04709797128437,NA,0.714140786121365,NA,NA,18.1763588734366,1.00881521071477e-04
"41",TRUE,FALSE,FALSE,TRUE,FALSE,127.961479064751,2,0.307332469382432,1,"scholarRefs + distrSize",3.55350134222266,2.32507753987462,NA,NA,0.932158089192728,NA,21.9149456179443,1.55592201300471e-05
"42",TRUE,FALSE,FALSE,FALSE,TRUE,127.051744474976,2,0.150022488506101,1,"scholarRefs + rand",3.70467094797536,2.671374807642,NA,NA,NA,0.843007615402125,21.0052110281687,2.45207743817088e-05
"43",FALSE,TRUE,TRUE,FALSE,FALSE,120.152964832606,2,-2.8070206927077,1,"Nm + mass",3.11838335575033,NA,-1.53078770450547,0.551665526550964,NA,NA,14.1064313857986,7.71942845833825e-04
"44",FALSE,TRUE,FALSE,TRUE,FALSE,133.170331400769,2,-0.0807010092789142,1,"Nm + distrSize",3.81902515513667,NA,0.551970526142603,NA,2.01608176249685,NA,27.123797953962,1.15053520447541e-06
"45",FALSE,TRUE,FALSE,FALSE,TRUE,138.654836334687,2,NA,5,"Nm + rand",3.75,NA,-0.250097324046042,NA,NA,1.31094243037042,32.6083028878796,7.41233087843205e-08
"46",FALSE,FALSE,TRUE,TRUE,FALSE,106.046533446807,2,-3.6053564759516,1,"mass + distrSize",1.80215306138623,NA,NA,0.362514173138249,4.01802926698315,NA,0,0.892807442126323
"47",FALSE,FALSE,TRUE,FALSE,TRUE,118.882983439581,2,-2.65939565921301,1,"mass + rand",3.72040539641632,NA,NA,0.586247161184134,NA,1.11938292376285,12.8364499927743,0.00145665968995032
