"","V1","V2","V3"
"1","Saccopteryx bilineata","1430","14"
"2","Miniopterus natalensis","180","5"
"3","Mormopterus jugularis","79",NA
"4","Otomops martiensseni","294","2"
"5","Glossophaga longirostris","428","4"
"6","Macrotus waterhousii","594","15"
"7","Thoopterus nigrescens","52",NA
"8","Myotis bechsteinii","768",NA
"9","Myotis brandtii","473",NA
"10","Myotis capaccinii","918","10"
"11","Myotis ciliolabrum","592","5"
"12","Myotis macropus","214",NA
"13","Artibeus watsoni","388",NA
"14","Artibeus obscurus","566","6"
"15","Balantiopteryx plicata","412","2"
"16","Myotis punicus","145",NA
"17","Rousettus obliviosus","52",NA
"18","Miniopterus natalensis","180","5"
"19","Macroderma gigas","769","13"
"20","Macroderma gigas","769","13"
