"","x"
"Anoura caudifer",8856499191101.81
"Anoura geoffroyi",7791083563999.12
"Antrozous pallidus",4367598171087.06
"Artibeus cinereus",3466547804074.41
"Artibeus fimbriatus",1480430650677.63
"Artibeus jamaicensis",1932234828243.95
"Artibeus lituratus",14235952081330.3
"Artibeus phaeotis",3737367008596.02
"Aselliscus stoliczkanus",1362320253866.14
"Barbastella barbastellus",3803509446846.79
"Carollia brevicauda",10749190806095.8
"Carollia perspicillata",13796363650175.7
"Carollia subrufa",212261468474.178
"Chaerephon plicatus",2462336035867.34
"Chaerephon pumilus",7240272013968.36
"Chrotopterus auritus",13116792960208.5
"Corynorhinus townsendii",4596886833819.83
"Cynomops abrasus",10671173659782.7
"Cynomops planirostris",11450257044776.5
"Cynopterus brachyotis",2699824266685.41
"Cynopterus sphinx",6456511570054.79
"Desmodus rotundus",17726517723851.1
"Diaemus youngi",13059176178659.5
"Diphylla ecaudata",8092435593144.84
"Dobsonia anderseni",46526995549.4761
"Dobsonia moluccensis",878249800430.73
"Eidolon dupreanum",460027210780.713
"Eidolon helvum",11803169528927.8
"Eonycteris spelaea",3525628504681.04
"Epomophorus gambianus",3791198002773.11
"Epomophorus wahlbergi",4999933425762.12
"Epomops dobsonii",1367015960204.47
"Epomops franqueti",4539597325261.21
"Eptesicus brasiliensis",12912899374200.7
"Eptesicus diminutus",2385956805389.54
"Eptesicus furinalis",16292708034044.8
"Eptesicus fuscus",13169332966193.5
"Eptesicus serotinus",12118863135540.7
"Euderma maculatum",2104986074271.88
"Eumops auripendulus",14106769898502.8
"Eumops glaucinus",11385115244573
"Eumops patagonicus",1535787151565.93
"Eumops perotis",11695631269560.7
"Glauconycteris argentata",3996259902794.51
"Glossophaga commissarisi",3716729942135.22
"Glossophaga morenoi",327072966040.371
"Glossophaga soricina",14858410302299.2
"Hipposideros abae",2324480454885.88
"Hipposideros armiger",4475406516453.57
"Hipposideros bicolor",1584431740920.16
"Hipposideros caffer",6348387299595.03
"Hipposideros cineraceus",2203629641389.16
"Hipposideros commersoni",513160069732.214
"Hipposideros diadema",3318837887416.13
"Hipposideros lankadiva",712586188905.555
"Hipposideros larvatus",3287880639738.13
"Hipposideros pomona",2840896125827.18
"Hipposideros speoris",1225278452423.91
"Histiotus montanus",4225093864793.38
"Histiotus velatus",2635147415965.28
"Hypsignathus monstrosus",2860594080067.83
"Ia io",1506490961339.32
