,virus.family,virus.genus,virus.species,host.genus,host.species,binomial,inTaxonomy,Species Count,Keep,binomial
1,Rhabdoviridae,Lyssavirus,Rabies virus,Anoura,caudifer,Anoura caudifer,TRUE,1,,Anoura caudifer
2,Bunyaviridae,Orthobunyavirus,Bimiti,Anoura,geoffroyi,Anoura geoffroyi,FALSE,,,Anoura geoffroyi
3,Bunyaviridae,Orthobunyavirus,Catu virus,Anoura,geoffroyi,Anoura geoffroyi,TRUE,,,Anoura geoffroyi
4,Flaviviridae,Flavivirus,Dengue virus,Anoura,geoffroyi,Anoura geoffroyi,TRUE,,,Anoura geoffroyi
5,Bunyaviridae,Orthobunyavirus,Guama virus,Anoura,geoffroyi,Anoura geoffroyi,TRUE,,,Anoura geoffroyi
6,Flaviviridae,Flavivirus,Ilheus virus,Anoura,geoffroyi,Anoura geoffroyi,TRUE,,,Anoura geoffroyi
7,Rhabdoviridae,Lyssavirus,Rabies virus,Anoura,geoffroyi,Anoura geoffroyi,TRUE,,,Anoura geoffroyi
8,Flaviviridae,Flavivirus,Rio Bravo virus,Anoura,geoffroyi,Anoura geoffroyi,TRUE,,,Anoura geoffroyi
9,Flaviviridae,Flavivirus,St. Louis encephalitis virus,Anoura,geoffroyi,Anoura geoffroyi,TRUE,,,Anoura geoffroyi
10,Flaviviridae,Flavivirus,Tamana bat virus,Anoura,geoffroyi,Anoura geoffroyi,FALSE,9,,Anoura geoffroyi
11,Rhabdoviridae,Lyssavirus,Rabies virus,Antrozous,pallidus,Antrozous pallidus,TRUE,1,,Antrozous pallidus
12,Flaviviridae,Flavivirus,Dengue virus,Artibeus,cinereus,Artibeus cinereus,TRUE,,,Artibeus cinereus
13,Flaviviridae,Flavivirus,Ilheus virus,Artibeus,cinereus,Artibeus cinereus,TRUE,,,Artibeus cinereus
14,Flaviviridae,Flavivirus,Yellow Fever virus,Artibeus,cinereus,Artibeus cinereus,FALSE,3,,Artibeus cinereus
15,Rhabdoviridae,Lyssavirus,Rabies virus,Artibeus,fimbriatus,Artibeus fimbriatus,TRUE,1,,Artibeus fimbriatus
16,Flaviviridae,Flavivirus,Dengue virus,Artibeus,jamaicensis,Artibeus jamaicensis,TRUE,,,Artibeus jamaicensis
17,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Artibeus,jamaicensis,Artibeus jamaicensis,TRUE,,,Artibeus jamaicensis
18,Flaviviridae,Flavivirus,Ilheus virus,Artibeus,jamaicensis,Artibeus jamaicensis,TRUE,,,Artibeus jamaicensis
19,Bunyaviridae,Orthobunyavirus,Marituba virus,Artibeus,jamaicensis,Artibeus jamaicensis,TRUE,,,Artibeus jamaicensis
20,Rhabdoviridae,Lyssavirus,Rabies virus,Artibeus,jamaicensis,Artibeus jamaicensis,TRUE,,,Artibeus jamaicensis
21,Rhabdoviridae,Lyssavirus,Rabies virus,Artibeus,planirostris,Artibeus jamaicensis,TRUE,,,Artibeus jamaicensis
22,Flaviviridae,Flavivirus,St. Louis encephalitis virus,Artibeus,jamaicensis,Artibeus jamaicensis,TRUE,,,Artibeus jamaicensis
23,Arenaviridae,Arenavirus,Tacaribe virus,Artibeus,jamaicensis,Artibeus jamaicensis,FALSE,,,Artibeus jamaicensis
24,Flaviviridae,Flavivirus,Tamana bat virus,Artibeus,jamaicensis,Artibeus jamaicensis,FALSE,,,Artibeus jamaicensis
25,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Artibeus,jamaicensis,Artibeus jamaicensis,TRUE,,,Artibeus jamaicensis
26,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis Indiana virus,Artibeus,jamaicensis,Artibeus jamaicensis,TRUE,,,Artibeus jamaicensis
27,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis New Jersey virus,Artibeus,jamaicensis,Artibeus jamaicensis,TRUE,,,Artibeus jamaicensis
