"","scholarRefs","NumberOfSubspecies","mass","distrSize","rand","scholarRefs.NumberOfSubspecies","AIC","boot","lambda","attempt","predictors","beta.(Intercept)","beta.scholarRefs","beta.NumberOfSubspecies","beta.mass","beta.distrSize","beta.rand","beta.scholarRefs:NumberOfSubspecies","dAIC","weight"
"1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,943.715459427767,1,0.038090056082401,1,"1",2.61998566526535,NA,NA,NA,NA,NA,NA,61.3887732545817,1.38473259254835e-14
"2",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,899.196981256046,1,0.131214805878659,1,"scholarRefs",2.82595706848467,1.26991145005978,NA,NA,NA,NA,NA,16.8702950828612,6.43325284445376e-05
"3",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,923.368250392827,1,0.0602938618390602,1,"NumberOfSubspecies",2.57810302434772,NA,0.872153155216291,NA,NA,NA,NA,41.0415642196418,3.62832530203058e-10
"4",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,941.109961469979,1,0.0268030326976553,2,"mass",2.57837989253398,NA,NA,0.475030660424133,NA,NA,NA,58.7832752967935,5.09498145038819e-14
"5",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,931.526765286748,1,0.0686008869685239,1,"distrSize",2.66779370619102,NA,NA,NA,0.748005670746808,NA,NA,49.2000791135632,6.13913548370967e-12
"6",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,943.112924150752,1,0.0351335063337645,1,"rand",2.63849707312417,NA,NA,NA,NA,-0.306974303433564,NA,60.7862379775667,1.87156445027522e-14
"7",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,892.302688880896,1,0.110831821889086,1,"scholarRefs + NumberOfSubspecies",2.75537776786196,1.07911028025097,0.526848268286947,NA,NA,NA,NA,9.97600270771056,0.00202072487798008
"8",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,898.36038313352,1,0.105715579820193,1,"scholarRefs + mass",2.76973255843885,1.23338387571512,NA,0.397606539619616,NA,NA,NA,16.0336969603351,9.77452349337781e-05
"9",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,899.127688832346,1,0.139888052912951,1,"scholarRefs + distrSize",2.83334345163142,1.16028736970264,NA,NA,0.288579515654703,NA,NA,16.8010026591604,6.66004677492757e-05
"10",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,901.234235258181,1,0.130059541445536,1,"scholarRefs + rand",2.82837871254642,1.26347516082532,NA,NA,NA,-0.0275002780742253,NA,18.9075490849954,2.32298569288285e-05
"11",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,920.113591543997,1,0.0544589877095451,1,"NumberOfSubspecies + mass",2.52826276632532,NA,0.876175976847693,0.515770817663907,NA,NA,NA,37.786905370812,1.84691286562542e-09
"12",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,914.053617215611,1,0.0728516067211544,1,"NumberOfSubspecies + distrSize",2.62102600749243,NA,0.791939857937085,NA,0.634741167225367,NA,NA,31.7269310424257,3.82254944939713e-08
"13",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,922.227746350209,1,0.0539103438393715,1,"NumberOfSubspecies + rand",2.6079918664141,NA,0.876208439035347,NA,NA,-0.319293350902938,NA,39.9010601770236,6.4174652176646e-10
"14",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,924.606307287033,1,0.00672957346139105,2,"mass + distrSize",2.5906091144323,NA,NA,0.668028294596914,0.829274260487791,NA,NA,42.2796211138476,1.95373464878837e-10
"15",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,940.583535795574,1,0.0240188881101612,2,"mass + rand",2.59361507909544,NA,NA,0.464681605677008,NA,-0.300382229870154,NA,58.2568496223893,6.6290987719261e-14
"16",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,932.591963624652,1,0.0625360013400222,1,"distrSize + rand",2.6819987369491,NA,NA,NA,0.709657966374678,-0.185560335399676,NA,50.2652774514671,3.604145686892e-12
"17",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,890.663158343521,1,0.0870224223718969,1,"scholarRefs + NumberOfSubspecies + mass",2.69680041097432,1.03718647581448,0.545899813247558,0.429511694626083,NA,NA,NA,8.33647217033592,0.00458697867324789
"18",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,892.30811353542,1,0.11334718383009,1,"scholarRefs + NumberOfSubspecies + distrSize",2.76077052788468,0.972887809658423,0.523435432752251,NA,0.276337213570083,NA,NA,9.98142736223497,0.00201525143704121
"19",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,894.16454386132,1,0.107810382721879,1,"scholarRefs + NumberOfSubspecies + rand",2.76091761191767,1.05769922697944,0.535153319177551,NA,NA,-0.0797660184299403,NA,11.8378576881345,7.96545367500226e-04
"20",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,897.19040403633,1,0.0960485056720595,1,"scholarRefs + mass + distrSize",2.76098813445664,1.08472143633343,NA,0.475690058732898,0.355758765094679,NA,NA,14.8637178631444,1.75449981887044e-04
"21",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,900.412430736534,1,0.104583633227693,1,"scholarRefs + mass + rand",2.77184982994284,1.22617323964978,NA,0.397559731513285,NA,-0.0307350488856349,NA,18.0857445633486,3.50347577992395e-05
"22",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,901.212001067355,1,0.139791484040102,1,"scholarRefs + distrSize + rand",2.83350644787912,1.15994363420621,NA,NA,0.28835735628206,-0.00181891069058247,NA,18.8853148941697,2.34895462858381e-05
"23",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,907.026787837351,1,0.0287259138579098,2,"NumberOfSubspecies + mass + distrSize",2.57618345141831,NA,0.781146980465855,0.651411420325336,0.724043537195137,NA,NA,24.7001016641658,1.28294998020232e-06
"24",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,919.05551801359,1,0.0477959505702866,1,"NumberOfSubspecies + mass + rand",2.55824089998931,NA,0.879837254832989,0.501041948969137,NA,-0.312209330409474,NA,36.7288318404052,3.13475897497553e-09
"25",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,914.613450868199,1,0.0659218759212451,1,"NumberOfSubspecies + distrSize + rand",2.64043359748343,NA,0.800778473459089,NA,0.590561005593159,-0.218271350168826,NA,32.2867646950136,2.88926102531857e-08
"26",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,925.828489695004,1,0.00654463090196703,2,"mass + distrSize + rand",2.59274529626996,NA,NA,0.656642374773762,0.798284554518772,-0.168302866816162,NA,43.5018035218187,1.06040566891183e-10
"27",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,889.255586159132,1,0.0713751004549871,1,"scholarRefs + NumberOfSubspecies + mass + distrSize",2.68641524870811,0.884002592289886,0.549078791898439,0.511176621735777,0.360491430215214,NA,NA,6.92889998594717,0.00927207929792406
"28",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,892.514763485518,1,0.0843461347133362,1,"scholarRefs + NumberOfSubspecies + mass + rand",2.70131113460741,1.01461828466739,0.554610398168864,0.429450528732028,NA,-0.0845642013089097,NA,10.1880773123324,0.00181742196693173
"29",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,894.304829719907,1,0.110910924498617,1,"scholarRefs + NumberOfSubspecies + distrSize + rand",2.76458876479253,0.960260854730874,0.529463666238775,NA,0.269783674779558,-0.0560076850212847,NA,11.9781435467222,7.42587832791905e-04
"30",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,899.296645146424,1,0.0959757379009739,1,"scholarRefs + mass + distrSize + rand",2.76110364575719,1.08435658263452,NA,0.475650339714309,0.355548694448566,-0.0018985884455982,NA,16.9699589732389,6.12052789863284e-05
"31",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,907.768386057373,1,0.0257879057294737,2,"NumberOfSubspecies + mass + distrSize + rand",2.58616878029027,NA,0.789070232157848,0.63707917987806,0.686603519545208,-0.201620712581195,NA,25.4416998841879,8.8546972529876e-07
"32",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,891.267116402262,1,0.0698075062185401,1,"scholarRefs + NumberOfSubspecies + mass + distrSize + rand",2.68890570507061,0.871082703720725,0.555027116821506,0.509982740765285,0.354588984641638,-0.0571320992805624,NA,8.94043022907681,0.0033913990549962
"33",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,885.469152669305,1,0.103406375985842,1,"scholarRefs:NumberOfSubspecies + scholarRefs + NumberOfSubspecies",2.6228364301242,1.1204282188588,0.293300387038401,NA,NA,NA,0.499653665716725,3.14246649611994,0.0615730579129843
"34",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,883.714994258917,1,0.0788717948903318,1,"scholarRefs:NumberOfSubspecies + scholarRefs + NumberOfSubspecies + mass",2.56173490663195,1.07881069545785,0.312204990405374,0.423509800692731,NA,NA,0.499667766029354,1.38830808573232,0.148013518160607
"35",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,885.506407394033,1,0.108256484056273,1,"scholarRefs:NumberOfSubspecies + scholarRefs + NumberOfSubspecies + distrSize",2.62999868813977,1.01761182724956,0.291195572449471,NA,0.269378482830315,NA,0.496428790542228,3.17972122084814,0.0604367304992111
"36",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,887.195613898242,1,0.100592356214456,1,"scholarRefs:NumberOfSubspecies + scholarRefs + NumberOfSubspecies + rand",2.62828755823048,1.09385324648592,0.301631831803291,NA,NA,-0.101818186050074,0.5041732667436,4.86892772505701,0.0259713443245513
"37",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,882.326686173185,1,0.067110770152066,1,"scholarRefs:NumberOfSubspecies + scholarRefs + NumberOfSubspecies + mass + distrSize",2.55254261843717,0.930328825755457,0.317060597815071,0.504115454353398,0.351190513221998,NA,0.495581279258302,0,0.296325244887996
"38",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,885.429055328079,1,0.0767264352749542,1,"scholarRefs:NumberOfSubspecies + scholarRefs + NumberOfSubspecies + mass + rand",2.56587859065818,1.0514490840642,0.320872393631,0.423363579903287,NA,-0.105369739251438,0.504056162936236,3.10236915489395,0.0628199736045916
"39",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,887.409044206463,1,0.10553709936022,1,"scholarRefs:NumberOfSubspecies + scholarRefs + NumberOfSubspecies + distrSize + rand",2.63411225408716,1.00051592284896,0.297835371250968,NA,0.26008432200795,-0.0785657421321581,0.500021291543838,5.08235803327761,0.0233425677252667
"40",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,882.326686173185,1,0.067110770152066,1,"scholarRefs:NumberOfSubspecies + scholarRefs + NumberOfSubspecies + mass + distrSize",2.55254261843717,0.930328825755457,0.317060597815071,0.504115454353398,0.351190513221998,NA,0.495581279258302,0,0.296325244887996
"41",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,943.715459427767,2,0.038090056082401,1,"1",2.61998566526535,NA,NA,NA,NA,NA,NA,61.3887732545817,1.38915623200052e-14
"42",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,899.196981256046,2,0.131214805878659,1,"scholarRefs",2.82595706848467,1.26991145005978,NA,NA,NA,NA,NA,16.8702950828612,6.45380438721492e-05
"43",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,923.368250392827,2,0.0602938618390602,1,"NumberOfSubspecies",2.57810302434772,NA,0.872153155216291,NA,NA,NA,NA,41.0415642196418,3.63991627853951e-10
"44",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,941.109961469979,2,0.0268030326976553,2,"mass",2.57837989253398,NA,NA,0.475030660424133,NA,NA,NA,58.7832752967935,5.11125777772627e-14
"45",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,931.526765286748,2,0.0686008869685239,1,"distrSize",2.66779370619102,NA,NA,NA,0.748005670746808,NA,NA,49.2000791135632,6.15874744494616e-12
"46",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,945.753039810963,2,0.0378792103980002,1,"rand",2.62021906820555,NA,NA,NA,NA,-0.0119336424080096,NA,63.4263536377774,5.01529095602913e-15
"47",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,892.302688880896,2,0.110831821889086,1,"scholarRefs + NumberOfSubspecies",2.75537776786196,1.07911028025097,0.526848268286947,NA,NA,NA,NA,9.97600270771056,0.00202718024585423
"48",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,898.36038313352,2,0.105715579820193,1,"scholarRefs + mass",2.76973255843885,1.23338387571512,NA,0.397606539619616,NA,NA,NA,16.0336969603351,9.80574899350988e-05
"49",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,899.127688832346,2,0.139888052912951,1,"scholarRefs + distrSize",2.83334345163142,1.16028736970264,NA,NA,0.288579515654703,NA,NA,16.8010026591604,6.68132282910974e-05
"50",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,900.820230671684,2,0.136178476555451,1,"scholarRefs + rand",2.8217372488512,1.28156490796984,NA,NA,NA,0.110693312728744,NA,18.4935444984984,2.86636614679991e-05
"51",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,920.113591543997,2,0.0544589877095451,1,"NumberOfSubspecies + mass",2.52826276632532,NA,0.876175976847693,0.515770817663907,NA,NA,NA,37.786905370812,1.85281297707009e-09
"52",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,914.053617215611,2,0.0728516067211544,1,"NumberOfSubspecies + distrSize",2.62102600749243,NA,0.791939857937085,NA,0.634741167225367,NA,NA,31.7269310424257,3.8347608905398e-08
"53",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,925.34618756164,2,0.0593654590760918,1,"NumberOfSubspecies + rand",2.58016763119,NA,0.87465119101456,NA,NA,-0.051965030530151,NA,43.0195013884548,1.35390376392504e-10
"54",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,924.606307287033,2,0.00672957346139105,2,"mass + distrSize",2.5906091144323,NA,NA,0.668028294596914,0.829274260487791,NA,NA,42.2796211138476,1.95997601099647e-10
"55",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,943.166439905582,2,0.0263164595314693,2,"mass + rand",2.57877321839515,NA,NA,0.474485513900477,NA,-0.0150234262967152,NA,60.8397537323973,1.82797042968746e-14
"56",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,933.554464276235,2,0.0692052668106219,1,"distrSize + rand",2.66670989036784,NA,NA,NA,0.750405242398064,0.0340768064017423,NA,51.2277781030497,2.23451438101053e-12
"57",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,890.663158343521,2,0.0870224223718969,1,"scholarRefs + NumberOfSubspecies + mass",2.69680041097432,1.03718647581448,0.545899813247558,0.429511694626083,NA,NA,NA,8.33647217033592,0.00460163214492498
"58",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,892.30811353542,2,0.11334718383009,1,"scholarRefs + NumberOfSubspecies + distrSize",2.76077052788468,0.972887809658423,0.523435432752251,NA,0.276337213570083,NA,NA,9.98142736223497,0.0020216893195688
"59",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,894.230558138411,2,0.11328412203644,1,"scholarRefs + NumberOfSubspecies + rand",2.75386315790472,1.08786668609271,0.520436396819336,NA,NA,0.0649737593963025,NA,11.9038719652259,7.73144864208328e-04
"60",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,897.19040403633,2,0.0960485056720595,1,"scholarRefs + mass + distrSize",2.76098813445664,1.08472143633343,NA,0.475690058732898,0.355758765094679,NA,NA,14.8637178631444,1.76010470941707e-04
"61",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,899.991063308054,2,0.112432937568354,1,"scholarRefs + mass + rand",2.76810276827996,1.24582525955871,NA,0.400034259690188,NA,0.112204066689357,NA,17.6643771348689,4.33893427151612e-05
"62",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,900.726635632637,2,0.14520391389061,1,"scholarRefs + distrSize + rand",2.82837518740469,1.17120263153091,NA,NA,0.291681134601336,0.115568030156685,NA,18.3999494594519,3.00369319373455e-05
"63",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,907.026787837351,2,0.0287259138579098,2,"NumberOfSubspecies + mass + distrSize",2.57618345141831,NA,0.781146980465855,0.651411420325336,0.724043537195137,NA,NA,24.7001016641658,1.28704846692685e-06
"64",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,922.123177303023,2,0.0529556598309639,1,"NumberOfSubspecies + mass + rand",2.53084164106943,NA,0.878258625696526,0.513617378660215,NA,-0.0483485477419801,NA,39.7964911298378,6.78352735751505e-10
"65",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,916.132380631565,2,0.0726453260566939,1,"NumberOfSubspecies + distrSize + rand",2.62148922394874,NA,0.792735279471569,NA,0.633791315455179,-0.0130320920957279,NA,33.8056944583797,1.35625249186654e-08
"66",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,926.673821438249,2,0.00769887868475142,2,"mass + distrSize + rand",2.59151917077391,NA,NA,0.667715671946367,0.830574183432178,0.0236317763092502,NA,44.3471352650641,6.97101090796116e-11
"67",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,889.255586159132,2,0.0713751004549871,1,"scholarRefs + NumberOfSubspecies + mass + distrSize",2.68641524870811,0.884002592289886,0.549078791898439,0.511176621735777,0.360491430215214,NA,NA,6.92889998594717,0.00930169969973066
"68",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,892.615319749988,2,0.0902647605843444,1,"scholarRefs + NumberOfSubspecies + mass + rand",2.69640032422428,1.04598485420313,0.539586998496444,0.43051222754148,NA,0.0642153620895357,NA,10.2886335768027,0.0017338256950921
"69",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,894.232486740871,2,0.115900020137363,1,"scholarRefs + NumberOfSubspecies + distrSize + rand",2.75906159725893,0.981569476999027,0.516469928507005,NA,0.278129967278308,0.0696462951844202,NA,11.905800567686,7.72399679014004e-04
