"","scholarRefs","NumberOfSubspecies","mass","distrSize","rand","scholarRefs.NumberOfSubspecies","AIC","boot","lambda","attempt","predictors","beta.(Intercept)","beta.scholarRefs","beta.NumberOfSubspecies","beta.mass","beta.distrSize","beta.rand","beta.scholarRefs:NumberOfSubspecies","dAIC","weight"
"1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,806.578053179396,1,0.0376181327801653,1,"1",2.55425225588404,NA,NA,NA,NA,NA,NA,50.1332219115897,2.49175119385488e-12
"2",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,765.996033568902,1,0.103545286774822,1,"scholarRefs",2.72043944420723,1.27054089712047,NA,NA,NA,NA,NA,9.55120230109605,0.00161725411808462
"3",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,792.534861564958,1,0.0610461495068576,1,"NumberOfSubspecies",2.51498866630809,NA,0.788049334969894,NA,NA,NA,NA,36.0900302971511,2.79219013420625e-09
"4",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,804.509149122022,1,0.0349440958964453,1,"mass",2.53832332350436,NA,NA,0.469171474445411,NA,NA,NA,48.0643178542155,7.01070160732752e-12
"5",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,796.889504667823,1,0.0579692098083438,1,"distrSize",2.56420499429479,NA,NA,NA,0.706963916860253,NA,NA,40.4446734000169,3.16479987765015e-10
"6",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,808.601619602073,1,0.0376339264377524,1,"rand",2.5545612914183,NA,NA,NA,NA,-0.0312294628242312,NA,52.156788334267,9.05926178131192e-13
"7",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,760.755517260275,1,0.101279904437353,1,"scholarRefs + NumberOfSubspecies",2.6786105212953,1.12853086281064,0.489926189829259,NA,NA,NA,NA,4.31068599246862,0.0222198909531955
"8",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,765.737717031562,1,0.0834928544002555,1,"scholarRefs + mass",2.69291238409342,1.22922632907633,NA,0.356117001157937,NA,NA,NA,9.29288576375541,0.00184022526537041
"9",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,766.49142278186,1,0.112841685712825,1,"scholarRefs + distrSize",2.71897105977057,1.17743841752045,NA,NA,0.256405090697192,NA,NA,10.0465915140536,0.00126242580965377
"10",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,767.985904929788,1,0.103807462626547,1,"scholarRefs + rand",2.72205122605262,1.27167013308889,NA,NA,NA,-0.0502029869144509,NA,11.5410736619814,5.97975223506095e-04
"11",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,789.76753717416,1,0.062919905475571,1,"NumberOfSubspecies + mass",2.4945167058547,NA,0.796662843934542,0.519113794639894,NA,NA,NA,33.3227059063539,1.11394011645081e-08
"12",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,784.678403230222,1,0.0712923046131348,1,"NumberOfSubspecies + distrSize",2.53106529780628,NA,0.719944335285669,NA,0.62562646514769,NA,NA,28.233571962416,1.41890473923868e-07
"13",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,794.572859505107,1,0.0611631233289558,1,"NumberOfSubspecies + rand",2.51422579255567,NA,0.791116268354926,NA,NA,0.0355301723237088,NA,38.1280282373001,1.00785802564116e-09
"14",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,790.488782913635,1,0.020511671908657,1,"mass + distrSize",2.55857263189947,NA,NA,0.661978684616659,0.816139080934668,NA,NA,34.0439516458288,7.76685723180686e-09
"15",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,806.559197606459,1,0.0350658830736059,1,"mass + rand",2.53852349754738,NA,NA,0.469201399535544,NA,-0.0298170795336491,NA,50.1143663386528,2.5153539782247e-12
"16",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,798.866453799643,1,0.0581953137325058,1,"distrSize + rand",2.56509343420279,NA,NA,NA,0.709797326984348,-0.0593844402833222,NA,42.4216225318368,1.17776109360776e-10
"17",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,759.919139603233,1,0.0845066203837944,1,"scholarRefs + NumberOfSubspecies + mass",2.65374951097016,1.08325755800525,0.506320707413295,0.388794100482301,NA,NA,NA,3.47430833542671,0.033756625363633
"18",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,761.343954644334,1,0.107023657989445,1,"scholarRefs + NumberOfSubspecies + distrSize",2.67530001099531,1.03876471576912,0.485697170206424,NA,0.244506190385201,NA,NA,4.89912337652777,0.0165563412340409
"19",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,762.851857832703,1,0.101331477826072,1,"scholarRefs + NumberOfSubspecies + rand",2.67891704223196,1.12892349905169,0.489173188170889,NA,NA,-0.00784982679567089,NA,6.4070265648968,0.0077898187327487
"20",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,765.172521307824,1,0.079658548142069,1,"scholarRefs + mass + distrSize",2.68015507751605,1.09064173110807,NA,0.443761411772834,0.334887165704355,NA,NA,8.72769004001748,0.00244119055535687
"21",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,767.754182812888,1,0.0839758372463655,1,"scholarRefs + mass + rand",2.6944631808478,1.23036171782858,NA,0.356049125433667,NA,-0.0495516560642968,NA,11.3093515450812,6.71430411572067e-04
"22",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,768.468560545333,1,0.113463098153538,1,"scholarRefs + distrSize + rand",2.72108279032228,1.17774014093134,NA,NA,0.259763993710722,-0.0603283767891965,NA,12.0237292775264,4.69759806021871e-04
"23",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,778.189134070514,1,0.0449733914750465,1,"NumberOfSubspecies + mass + distrSize",2.52756464534468,NA,0.70956068730322,0.665610461095032,0.728874164236522,NA,NA,21.7443028027078,3.63982189484909e-06
"24",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,791.828420783728,1,0.062947139840268,1,"NumberOfSubspecies + mass + rand",2.49380103264321,NA,0.799744392810585,0.519207738168262,NA,0.036189952004886,NA,35.3835895159211,3.97508715177385e-09
"25",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,786.776411842467,1,0.0712828919480554,1,"NumberOfSubspecies + distrSize + rand",2.53098080667682,NA,0.720293794352277,NA,0.625397715027927,0.00385827179037914,NA,30.3315805746611,4.97022967083523e-08
"26",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,792.492466056156,1,0.0212573419609648,1,"mass + distrSize + rand",2.5586757071483,NA,NA,0.662412628115105,0.818260623227496,-0.0577781580878057,NA,36.0476347883493,2.85201007919784e-09
"27",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,759.276227507064,1,0.0782017772564993,1,"scholarRefs + NumberOfSubspecies + mass + distrSize",2.64077276626758,0.944741314418607,0.505439172056911,0.475527071184594,0.333757367174889,NA,NA,2.83139623925797,0.0465549228988066
"28",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,762.04221420835,1,0.084563002227458,1,"scholarRefs + NumberOfSubspecies + mass + rand",2.65395888420331,1.08353889634307,0.505776069225756,0.388762015125391,NA,-0.00568487986998563,NA,5.5973829405433,0.0116772137783023
"29",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,763.457247891608,1,0.107223148647059,1,"scholarRefs + NumberOfSubspecies + distrSize + rand",2.67602189063319,1.0393313464483,0.483965311057202,NA,0.245510807461527,-0.0177898960389105,NA,7.01241662380164,0.00575530800871808
