"","binomial","virusSpecies","NumberOfSubspecies","Genus","Family","familyPlotCol","mass","distrSize","pubmedRefs","scholarRefs","SubspeciesFactor"
"Anoura caudifer","Anoura caudifer",1,1,"Anoura","Phyllostomidae","Phyllostomidae",10.81,8856499191101.81,0,177,"1"
"Anoura geoffroyi","Anoura geoffroyi",9,3,"Anoura","Phyllostomidae","Phyllostomidae",15.15,7791083563999.12,11,1140,"3"
"Antrozous pallidus","Antrozous pallidus",1,7,"Antrozous","Vespertilionidae","Vespertilionidae",22.24,4367598171087.06,28,2650,"7"
"Artibeus cinereus","Artibeus cinereus",3,1,"Artibeus","Phyllostomidae","Phyllostomidae",12.7,3466547804074.41,3,463,"1"
"Artibeus fimbriatus","Artibeus fimbriatus",1,1,"Artibeus","Phyllostomidae","Phyllostomidae",63.89,1480430650677.63,4,477,"1"
"Artibeus jamaicensis","Artibeus jamaicensis",12,13,"Artibeus","Phyllostomidae","Phyllostomidae",43.63,1932234828243.95,68,3950,"13"
"Artibeus lituratus","Artibeus lituratus",13,3,"Artibeus","Phyllostomidae","Phyllostomidae",59.3,14235952081330.3,64,2800,"3"
"Artibeus phaeotis","Artibeus phaeotis",5,4,"Artibeus","Phyllostomidae","Phyllostomidae",11.69,3737367008596.02,0,354,"4"
"Aselliscus stoliczkanus","Aselliscus stoliczkanus",1,1,"Aselliscus","Hipposideridae","Hipposideridae",6.09,1362320253866.14,9,128,"1"
"Barbastella barbastellus","Barbastella barbastellus",1,2,"Barbastella","Vespertilionidae","Vespertilionidae",8.31,3803509446846.79,11,2540,"2"
"Carollia brevicauda","Carollia brevicauda",2,1,"Carollia","Phyllostomidae","Phyllostomidae",14.85,10749190806095.8,0,22,"1"
"Carollia perspicillata","Carollia perspicillata",15,1,"Carollia","Phyllostomidae","Phyllostomidae",19.23,13796363650175.7,126,4040,"1"
"Carollia subrufa","Carollia subrufa",2,1,"Carollia","Phyllostomidae","Phyllostomidae",15.84,212261468474.178,0,230,"1"
"Chaerephon plicatus","Chaerephon plicatus",2,5,"Chaerephon","Molossidae","Molossidae",21.83,2462336035867.34,0,62,"5"
"Chaerephon pumilus","Chaerephon pumilus",4,1,"Chaerephon","Molossidae","Molossidae",10.98,7240272013968.36,0,177,"1"
"Chrotopterus auritus","Chrotopterus auritus",1,1,"Chrotopterus","Phyllostomidae","Phyllostomidae",78.26,13116792960208.5,4,955,"1"
"Corynorhinus townsendii","Corynorhinus townsendii",1,5,"Corynorhinus","Vespertilionidae","Vespertilionidae",10.3,4596886833819.83,3,2250,"5"
"Cynomops abrasus","Cynomops abrasus",1,4,"Cynomops","Molossidae","Molossidae",35.39,10671173659782.7,2,143,"4"
"Cynomops planirostris","Cynomops planirostris",1,1,"Cynomops","Molossidae","Molossidae",12.84,11450257044776.5,0,138,"1"
"Cynopterus brachyotis","Cynopterus brachyotis",5,8,"Cynopterus","Pteropodidae","Pteropodidae",33.87,2699824266685.41,33,1120,"8"
"Cynopterus sphinx","Cynopterus sphinx",3,6,"Cynopterus","Pteropodidae","Pteropodidae",44.71,6456511570054.79,53,1620,"6"
"Desmodus rotundus","Desmodus rotundus",7,1,"Desmodus","Phyllostomidae","Phyllostomidae",33.16,17726517723851.1,265,6810,"1"
"Diaemus youngi","Diaemus youngi",1,1,"Diaemus","Phyllostomidae","Phyllostomidae",36.71,13059176178659.5,11,725,"1"
"Diphylla ecaudata","Diphylla ecaudata",1,1,"Diphylla","Phyllostomidae","Phyllostomidae",28.11,8092435593144.84,13,1010,"1"
"Dobsonia anderseni","Dobsonia anderseni",1,1,"Dobsonia","Pteropodidae","Pteropodidae",233.99,46526995549.4761,0,30,"1"
"Dobsonia moluccensis","Dobsonia moluccensis",1,1,"Dobsonia","Pteropodidae","Pteropodidae",447.64,878249800430.73,2,168,"1"
"Eidolon dupreanum","Eidolon dupreanum",3,1,"Eidolon","Pteropodidae","Pteropodidae",297.58,460027210780.713,5,159,"1"
"Eidolon helvum","Eidolon helvum",7,3,"Eidolon","Pteropodidae","Pteropodidae",254.61,11803169528927.8,68,1640,"3"
"Eonycteris spelaea","Eonycteris spelaea",5,4,"Eonycteris","Pteropodidae","Pteropodidae",58.7,3525628504681.04,11,1030,"4"
"Epomophorus gambianus","Epomophorus gambianus",1,2,"Epomophorus","Pteropodidae","Pteropodidae",134.59,3791198002773.11,4,295,"2"
"Epomophorus wahlbergi","Epomophorus wahlbergi",1,1,"Epomophorus","Pteropodidae","Pteropodidae",93.59,4999933425762.12,13,511,"1"
"Epomops dobsonii","Epomops dobsonii",1,1,"Epomops","Pteropodidae","Pteropodidae",122.08,1367015960204.47,0,22,"1"
"Epomops franqueti","Epomops franqueti",2,1,"Epomops","Pteropodidae","Pteropodidae",118.99,4539597325261.21,7,515,"1"
"Eptesicus brasiliensis","Eptesicus brasiliensis",1,4,"Eptesicus","Vespertilionidae","Vespertilionidae",9.2,12912899374200.7,2,600,"4"
"Eptesicus diminutus","Eptesicus diminutus",1,2,"Eptesicus","Vespertilionidae","Vespertilionidae",5.99,2385956805389.54,0,207,"2"
"Eptesicus furinalis","Eptesicus furinalis",1,4,"Eptesicus","Vespertilionidae","Vespertilionidae",7.7,16292708034044.8,6,726,"4"
"Eptesicus fuscus","Eptesicus fuscus",7,12,"Eptesicus","Vespertilionidae","Vespertilionidae",17.49,13169332966193.5,405,9780,"12"
"Eptesicus serotinus","Eptesicus serotinus",4,10,"Eptesicus","Vespertilionidae","Vespertilionidae",23.09,12118863135540.7,56,3980,"10"
"Euderma maculatum","Euderma maculatum",1,1,"Euderma","Vespertilionidae","Vespertilionidae",16.17,2104986074271.88,5,1110,"1"
"Eumops auripendulus","Eumops auripendulus",1,2,"Eumops","Molossidae","Molossidae",28.49,14106769898502.8,2,343,"2"
