"","binomial","pubmedRefs"
"1","Anoura caudifer",NA
"2","Anoura geoffroyi","11"
"3","Antrozous pallidus","28"
"4","Artibeus cinereus","3"
"5","Artibeus fimbriatus","4"
"6","Artibeus jamaicensis","68"
"7","Artibeus lituratus","62"
"8","Artibeus phaeotis",NA
"9","Aselliscus stoliczkanus","9"
"10","Barbastella barbastellus","10"
"11","Carollia brevicauda",NA
"12","Carollia perspicillata","126"
"13","Carollia subrufa",NA
"14","Chrotopterus auritus","4"
"15","Corynorhinus townsendii","3"
"16","Cynomops abrasus","2"
"17","Cynomops planirostris",NA
"18","Cynopterus brachyotis","33"
"19","Cynopterus sphinx","53"
"20","Desmodus rotundus","262"
"21","Diaemus youngi","11"
"22","Diphylla ecaudata","13"
"23","Dobsonia anderseni",NA
"24","Dobsonia moluccensis","2"
"25","Eidolon dupreanum","5"
"26","Eidolon helvum","68"
"27","Eonycteris spelaea","11"
"28","Epomophorus gambianus","4"
"29","Epomophorus wahlbergi","13"
"30","Epomops dobsonii",NA
"31","Epomops franqueti","7"
"32","Eptesicus brasiliensis","2"
"33","Eptesicus diminutus",NA
"34","Eptesicus furinalis","6"
"35","Eptesicus fuscus","397"
"36","Eptesicus serotinus","55"
"37","Euderma maculatum","5"
"38","Eumops auripendulus","2"
"39","Eumops glaucinus","5"
"40","Eumops patagonicus",NA
"41","Eumops perotis","5"
"42","Glauconycteris argentata",NA
"43","Glossophaga commissarisi","7"
"44","Glossophaga morenoi",NA
"45","Glossophaga soricina","90"
"46","Hipposideros abae",NA
"47","Hipposideros armiger","26"
"48","Hipposideros bicolor","4"
"49","Hipposideros caffer","6"
"50","Hipposideros cineraceus",NA
"51","Hipposideros commersoni",NA
"52","Hipposideros diadema","4"
"53","Hipposideros lankadiva","2"
"54","Hipposideros larvatus","7"
"55","Hipposideros pomona","5"
"56","Hipposideros speoris","9"
"57","Histiotus montanus","4"
"58","Histiotus velatus","5"
"59","Hypsignathus monstrosus","9"
"60","Ia io","2"
"61","Lasionycteris noctivagans","32"
"62","Lasiurus blossevillii","2"
"63","Lasiurus borealis","27"
"64","Lasiurus cinereus","33"
"65","Lasiurus ega","6"
"66","Lasiurus egregius",NA
"67","Lasiurus intermedius",NA
"68","Lasiurus seminolus",NA
"69","Lasiurus xanthinus",NA
"70","Leptonycteris curasoae","19"
"71","Leptonycteris nivalis","5"
"72","Lonchophylla robusta",NA
"73","Lonchophylla thomasi",NA
"74","Lonchorhina aurita","3"
"75","Lophostoma brasiliense",NA
"76","Lophostoma silvicolum","2"
"77","Macroglossus minimus","5"
"78","Macrotus californicus","15"
"79","Megaderma lyra","32"
"80","Micronycteris megalotis",NA
"81","Micropteropus pusillus","4"
"82","Mimon crenulatum","3"
"83","Miniopterus inflatus","4"
"84","Miniopterus magnater","5"
"85","Miniopterus pusillus","4"
"86","Miniopterus schreibersii","64"
