"","binomial","scholarRefs"
"1","Anoura caudifer","177"
"2","Anoura geoffroyi","1140"
"3","Antrozous pallidus","2650"
"4","Artibeus cinereus","463"
"5","Artibeus fimbriatus","477"
"6","Artibeus jamaicensis","3950"
"7","Artibeus lituratus","2800"
"8","Artibeus phaeotis","354"
"9","Aselliscus stoliczkanus","128"
"10","Barbastella barbastellus","2540"
"11","Carollia brevicauda","22"
"12","Carollia perspicillata","4040"
"13","Carollia subrufa","230"
"14","Chaerephon plicatus","62"
"15","Chaerephon pumilus","177"
"16","Chrotopterus auritus","955"
"17","Corynorhinus townsendii","2250"
"18","Cynomops abrasus","143"
"19","Cynomops planirostris","138"
"20","Cynopterus brachyotis","1120"
"21","Cynopterus sphinx","1620"
"22","Desmodus rotundus","6810"
"23","Diaemus youngi","725"
"24","Diphylla ecaudata","1010"
"25","Dobsonia anderseni","30"
"26","Dobsonia moluccensis","168"
"27","Eidolon dupreanum","159"
"28","Eidolon helvum","1640"
"29","Eonycteris spelaea","1030"
"30","Epomophorus gambianus","295"
"31","Epomophorus wahlbergi","511"
"32","Epomops dobsonii","22"
"33","Epomops franqueti","515"
"34","Eptesicus brasiliensis","600"
"35","Eptesicus diminutus","207"
"36","Eptesicus furinalis","726"
"37","Eptesicus fuscus","9780"
"38","Eptesicus serotinus","3980"
"39","Euderma maculatum","1110"
"40","Eumops auripendulus","343"
"41","Eumops glaucinus","545"
"42","Eumops patagonicus","128"
"43","Eumops perotis","859"
"44","Glauconycteris argentata","34"
"45","Glossophaga commissarisi","406"
"46","Glossophaga morenoi","146"
"47","Glossophaga soricina","3460"
"48","Hipposideros abae","55"
"49","Hipposideros armiger","656"
"50","Hipposideros bicolor","371"
"51","Hipposideros caffer","458"
"52","Hipposideros cineraceus","164"
"53","Hipposideros commersoni","429"
"54","Hipposideros diadema","472"
"55","Hipposideros lankadiva","188"
"56","Hipposideros larvatus","398"
"57","Hipposideros pomona","226"
"58","Hipposideros speoris","603"
"59","Histiotus montanus","410"
"60","Histiotus velatus","320"
"61","Hypsignathus monstrosus","697"
"62","Ia io","6810"
"63","Lasionycteris noctivagans","2480"
"64","Lasiurus blossevillii","1010"
"65","Lasiurus borealis","3460"
"66","Lasiurus cinereus","3800"
"67","Lasiurus ega","751"
"68","Lasiurus egregius","92"
"69","Lasiurus intermedius","471"
