namemodel,REM,NW5,NW6,NW7,SW6,SW9,SW8,SW7,SW5,SW4,NW1,NW2,NW3,NW4,SW1,SW2,SW3,NE3,SE3,SE4,NE1,NE2,SE2,gas,SE1
signal_angle,6.28318,5.71198,5.14078,3.4272,2.856,1.713596,1.142398,0.571198,1.713596,0.571198,6.28318,5.71198,5.14078,3.4272,2.856,1.713596,0.571198,3.4272,2.856,0.571198,5.71198,3.4272,2.856,5.71198,0.571198
camera_width,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,1.396264,1.396264,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,3.49066,3.49066,3.49066,5.58506,5.58506,5.58506,6.28318,6.28318
Radius,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
iter1,-0.9573124795,-0.8843209034,-0.9819608781,-4.0495625539,-2.9421006392,-2.4330570992,-4.0197128395,-4.2312702482,-2.1683645489,-2.7590139015,0.7336474369,0.6559354192,0.6392102585,-1.2605471826,-1.5391292698,-2.830843759,-1.9000955272,0.3253985814,0.006352735,-2.9265788804,0.7398505712,0.6348152767,0.6408882099,0.5700958027,-0.457885516
iter2,-0.3984210984,-0.3289833591,-0.5144774728,-2.3760084124,-1.4090623142,-5.4107972556,-5.1566364405,-5.5839359227,-3.0389973702,-7.3437600141,-0.6768587116,-0.649948316,-0.9015601537,-2.4698849242,-2.787132301,-3.679555348,-4.240653414,-0.8449605241,-0.8566047089,-2.0492206521,0.7603219897,0.6604638687,0.5937912885,0.5343511634,0.1764870271
iter3,1.1831225971,1.4456822714,1.4438989549,0.1517556555,-0.0831913304,1.3902142126,1.8444194184,5.7784557428,1.9327742675,2.7870499444,0.6004329673,0.7429943349,0.7451891758,1.2076913227,0.8255080526,0.3476643489,-0.0174728791,0.3946505994,0.8916280437,-0.2005015281,0.7603219897,0.6091666848,0.661820175,0.5803085568,0.3214864655
iter4,0.3745137904,0.3470797382,-0.1480715605,0.709607036,0.5797441615,0.4343963847,0.6476577331,1.5851921519,-2.3287442791,1.0123095138,0.0283943627,0.204811947,0.1337723455,-0.0214716278,-0.4115475836,0.1479675045,-0.4245264246,0.5123790302,0.4229528802,0.3321802534,0.5914327868,0.4604048517,0.4472675327,0.4322236226,-0.7478843929
iter5,1.1236660672,1.2283762759,1.4438989549,2.1216683429,2.195649423,-1.1096170297,0.5279815646,7.9427208219,-0.2208963959,2.3433648368,-0.7160394379,-0.4916593784,-0.3390566699,0.176780461,0.4532966223,0.3643057526,0.3386989732,-0.0624127198,0.1551385011,2.3062362671,-0.2018346811,-0.2936637509,-0.3062832109,-0.3643711956,-0.5666350949
iter6,0.8739486416,1.1800860546,0.5721055774,-0.0225729009,-0.1246247987,1.9784097991,-1.0278086263,-2.8786045738,0.0769516746,-2.2413812759,0.0048859269,-0.0642792469,-0.2086210794,-0.1899859032,0.7926658676,-1.299834618,-1.2895152089,0.2907725723,0.2072135193,-1.547873093,0.1768865617,0.1269731566,0.2693458294,0.0186070824,-0.6935096035
iter7,0.8739486416,0.80583684,1.064858356,1.7555783744,3.0657522561,2.0519342474,0.6476577331,-0.9848726295,1.8869514874,0.5686244061,0.5455799504,0.6084487379,0.7044280537,0.8111871451,1.7779314186,1.3794313787,1.5089779166,0.6578082681,0.5568600698,-1.046525534,0.6784363156,0.5527397826,0.3635396723,0.5292447864,-1.382256936
iter8,-0.5648993822,-0.55836191,-0.4260346664,-1.6089627642,-1.8233969967,-1.0360925814,0.6476577331,1.5851921519,-2.6953265197,-2.019538722,-0.2772153028,-0.3333704408,-0.2249255282,-0.6757035207,-0.6742850639,-1.2499104069,-3.986244948,-0.0070111054,-0.5962296181,-3.678600219,-0.2837203552,-0.3706095267,-0.5156028619,-0.5073497528,-1.1466328486
