Model,Angle,Mean,Standard.Error
1,3.14159,0.090456633,0.089325576
1,3.14159,0.090456633,0.089325576
2,3.14159,0.470155611,0.110092161
2,3.14159,0.470155611,0.110092161
3,3.14159,0.057995843,0.081835159
3,3.14159,0.057995843,0.081835159
4,3.14159,0.213760093,0.094242629
4,3.14159,0.213760093,0.094242629
1,1.0472,0.187859919,0.080034024
1,1.0472,0.187859919,0.080034024
2,1.0472,0.084588358,0.096648944
2,1.0472,0.084588358,0.096648944
3,1.0472,0.141728154,0.073392775
3,1.0472,0.141728154,0.073392775
4,1.0472,0.138772067,0.084328243
4,1.0472,0.138772067,0.084328243
1,2.0944,-0.051612681,0.08241968
1,2.0944,-0.051612681,0.08241968
2,2.0944,0.08601152,0.093754524
2,2.0944,0.08601152,0.093754524
3,2.0944,-0.033786521,0.07167152
3,2.0944,-0.033786521,0.07167152
4,2.0944,0.101650018,0.080796668
4,2.0944,0.101650018,0.080796668
1,0,-0.016271665,0.105860581
1,0,-0.016271665,0.105860581
2,0,0.016605035,0.127249845
2,0,0.016605035,0.127249845
3,0,-0.009695119,0.091581357
3,0,-0.009695119,0.091581357
4,0,-0.063576575,0.098023283
4,0,-0.063576575,0.098023283
