Model,Distance,Mean,Standard.Error
1,1863,-0.044048602,0.076907735
1,1847.682,0.032275373,0.075569067
1,1832.364,0.00567811,0.072460899
1,1817.046,-0.006910784,0.074102945
1,1801.728,0.001584212,0.071065426
1,1786.41,0.041348191,0.071009149
1,1771.092,0.051969136,0.079183849
1,1755.774,0.024711348,0.069294018
1,1740.456,0.036641021,0.077086897
1,1725.138,0.03150351,0.078536021
1,1709.82,0.025079699,0.069932475
1,1694.502,-0.021211328,0.066912081
1,1679.184,0.010585135,0.073573514
1,1663.866,0.075512188,0.084181587
1,1648.548,-0.077805463,0.067792263
1,1633.23,0.028358698,0.07355041
1,1617.912,0.044138926,0.070227571
1,1602.594,0.013194381,0.069742935
1,1587.276,0.017034398,0.071830309
1,1571.958,-0.050170384,0.079312117
1,1556.64,0.031508656,0.075957905
1,1541.322,-0.006037276,0.073804004
1,1526.004,-0.040110163,0.081390894
1,1510.686,-0.007749552,0.083307771
1,1495.368,-0.067566823,0.080851532
1,1480.05,0.036197093,0.084007944
1,1464.732,0.013881502,0.083829417
1,1449.414,0.078020497,0.083595987
1,1434.096,0.00072431,0.08326246
1,1418.778,-0.044808701,0.075003146
1,1403.46,-0.021878944,0.073925314
1,1388.142,0.064615662,0.087495961
1,1372.824,0.0397456,0.084689062
1,1357.506,0.133061205,0.085208275
1,1342.188,0.008018038,0.084837227
1,1326.87,-0.037927789,0.075593115
1,1311.552,0.041424991,0.082149041
1,1296.234,-0.048335376,0.075067694
1,1280.916,-0.044299919,0.074999852
1,1265.598,0.129911466,0.090646628
1,1250.28,0.057891104,0.082251832
1,1234.962,0.106109047,0.091868004
1,1219.644,0.054654012,0.086787444
1,1204.326,0.146722541,0.093867571
1,1189.008,0.001744278,0.093972834
1,1173.69,0.069033959,0.090128201
1,1158.372,0.15975442,0.096538258
1,1143.054,-0.116069142,0.090670094
1,1127.736,0.029044543,0.08277169
1,1112.418,-0.02289195,0.091510018
1,1097.1,0.003756751,0.094071232
1,1081.782,0.043025752,0.095638352
1,1066.464,0.042266231,0.0908111
1,1051.146,-0.030434257,0.099438639
1,1035.828,0.003088262,0.087517599
1,1020.51,-0.016445179,0.093852443
1,1005.192,-0.000167809,0.084785134
1,989.874,-0.040470382,0.088188924
1,974.556,0.04220341,0.09771659
1,959.238,-0.090721159,0.099428544
1,943.92,0.150709784,0.094024719
1,928.602,-0.004901851,0.094405182
1,913.284,-0.033861635,0.093220635
1,897.966,-0.142470111,0.10459584
1,882.648,-0.036353056,0.094775013
1,867.33,-0.01915107,0.09830973
1,852.012,-0.039870439,0.097736482
1,836.694,0.116784289,0.106293451
1,821.376,-0.016648216,0.087987022
1,806.058,-0.050640902,0.085929429
1,790.74,-0.002203313,0.103040259
1,775.422,0.148716183,0.110102842
1,760.104,-0.129750095,0.097432268
1,744.786,0.047599483,0.113544372
1,729.468,0.219611428,0.119084935
1,714.15,0.162190222,0.11707402
1,698.832,-0.084685593,0.116067333
1,683.514,-0.086468677,0.113613792
1,668.196,-0.036550527,0.11665516
1,652.878,0.105364437,0.113597311
1,637.56,0.162673729,0.120540455
1,622.242,-0.052848461,0.109856555
1,606.924,-0.061216135,0.118071113
1,591.606,0.060629354,0.122033043
1,576.288,0.242611943,0.135184385
1,560.97,-0.091853931,0.118477399
1,545.652,0.157188737,0.130581687
1,530.334,0.050735236,0.133601319
1,515.016,0.072032147,0.12859181
1,499.698,-0.147182619,0.131509115
1,484.38,0.010440285,0.119212717
1,469.062,0.023234348,0.118527044
