"model","percentageerror","expression"
"REM",-0.3984210984,"3"
"REM",1.1831225971,"3"
"REM",0.3745137904,"3"
"REM",1.1236660672,"3"
"REM",0.8739486416,"3"
"REM",0.8739486416,"3"
"REM",-0.5648993822,"3"
"REM",0.1961442007,"3"
"REM",0.3269485665,"3"
"REM",-0.671921136,"3"
"REM",0.2793833425,"3"
"REM",1.2069052091,"3"
"REM",1.266361739,"3"
"REM",0.9690790895,"3"
"REM",-1.4329647188,"3"
"REM",0.3864050964,"3"
"REM",-2.7528996828,"3"
"REM",-1.1594646812,"3"
"REM",0.4458616263,"3"
"REM",-2.3129213614,"3"
"REM",0.6836877459,"3"
"REM",0.3507311784,"3"
"REM",0.0772311408,"3"
"REM",1.4804052467,"3"
"REM",-0.1368123668,"3"
"REM",-0.3627471805,"3"
"REM",0.2437094246,"3"
"REM",-0.4697689343,"3"
"REM",0.6599051339,"3"
"REM",-0.9216385616,"3"
"REM",1.2187965151,"3"
"REM",-0.006008001,"3"
"REM",2.586296703,"3"
"REM",0.0891224468,"3"
"REM",0.4101877083,"3"
"REM",1.0642095373,"3"
"REM",-0.1130297549,"3"
"REM",1.242579127,"3"
"REM",-0.4578776283,"3"
"REM",3.2522098379,"3"
"REM",-0.4816602403,"3"
"REM",0.0653398349,"3"
"REM",-1.1713559872,"3"
"REM",-0.5292254642,"3"
"REM",-0.3627471805,"3"
"REM",1.6944487543,"3"
"REM",2.8003402106,"3"
"REM",0.2437094246,"3"
"REM",0.600448604,"3"
"REM",0.1010137528,"3"
"REM",0.4815355442,"3"
"REM",-0.9692037855,"3"
"REM",-0.2081602027,"3"
"REM",1.4685139407,"3"
"REM",-0.1011384489,"3"
"REM",-0.8383994197,"3"
"REM",-0.006008001,"3"
"REM",1.0285356194,"3"
"REM",1.5279704706,"3"
"REM",1.5993183065,"3"
"REM",-0.4103124044,"3"
"REM",-0.1011384489,"3"
"REM",0.3864050964,"3"
"REM",1.1474486792,"3"
"REM",0.2080355066,"3"
"REM",-1.5162038607,"3"
"REM",1.3139269629,"3"
"REM",0.4815355442,"3"
"REM",0.0772311408,"3"
"REM",-0.1962688967,"3"
"REM",-1.1594646812,"3"
"REM",-0.5530080762,"3"
"REM",-0.0654645309,"3"
"REM",0.7312529698,"3"
"REM",0.0296659169,"3"
"REM",-0.5767906881,"3"
"REM",0.6717964399,"3"
"REM",-0.0654645309,"3"
"REM",-1.4567473308,"3"
"REM",-0.4222037104,"3"
"REM",0.3150572605,"3"
"REM",-0.695703748,"3"
"REM",-0.66002983,"3"
"REM",0.3507311784,"3"
"REM",1.1117747612,"3"
"REM",1.1712312912,"3"
"REM",-0.1962688967,"3"
"REM",0.5647746861,"3"
"REM",-0.2676167326,"3"
"REM",-1.2545951291,"3"
"REM",-1.1832472932,"3"
"REM",0.4339703203,"3"
"REM",-0.1724862848,"3"
"REM",1.3852747988,"3"
"REM",-0.4816602403,"3"
"REM",-0.6005733001,"3"
"REM",0.2793833425,"3"
"REM",-0.2319428147,"3"
"REM",0.2556007306,"3"
"NW5",-0.3289833591,"2"
"NW5",1.4456822714,"2"
"NW5",0.3470797382,"2"
"NW5",1.2283762759,"2"
"NW5",1.1800860546,"2"
"NW5",0.80583684,"2"
"NW5",-0.55836191,"2"
"NW5",0.1901365192,"2"
"NW5",0.262571851,"2"
"NW5",-0.6428697972,"2"
"NW5",0.0452658555,"2"
"NW5",1.2525213865,"2"
"NW5",1.312884163,"2"
"NW5",1.1076507228,"2"
"NW5",-1.5845291114,"2"
"NW5",0.298789517,"2"
"NW5",-2.9608004168,"2"
"NW5",-1.2827152287,"2"
"NW5",0.3832974042,"2"
"NW5",-2.3933903172,"2"
"NW5",0.7696191741,"2"
"NW5",0.4919504019,"2"
"NW5",-0.051314587,"2"
"NW5",1.7716412648,"2"
"NW5",-0.0030243658,"2"
"NW5",-0.6911600185,"2"
"NW5",-0.0875322529,"2"
"NW5",-0.5825070207,"2"
"NW5",0.3108620723,"2"
"NW5",-0.6670149078,"2"
"NW5",1.1800860546,"2"
"NW5",-0.1358224742,"2"
"NW5",2.4235592516,"2"
"NW5",0.1539188533,"2"
"NW5",0.0331933002,"2"
"NW5",0.8541270612,"2"
"NW5",-0.2565480273,"2"
"NW5",1.155940944,"2"
"NW5",-0.8843209034,"2"
"NW5",3.0996223489,"2"
"NW5",-0.401418691,"2"
"NW5",0.0452658555,"2"
"NW5",-1.3672231158,"2"
"NW5",-0.4979991335,"2"
"NW5",-0.4859265782,"2"
"NW5",1.5784803799,"2"
"NW5",2.906461464,"2"
"NW5",-0.0150969211,"2"
"NW5",0.5885308444,"2"
"NW5",0.0694109661,"2"
"NW5",0.3953699595,"2"
"NW5",-1.0654092331,"2"
"NW5",-0.401418691,"2"
"NW5",1.6267706011,"2"
"NW5",-0.2324029167,"2"
"NW5",-1.0654092331,"2"
"NW5",0.0211207448,"2"
"NW5",0.998997725,"2"
"NW5",1.4456822714,"2"
"NW5",1.7112784883,"2"
"NW5",-0.5221442441,"2"
"NW5",-0.1358224742,"2"
"NW5",0.455732736,"2"
"NW5",1.2766664971,"2"
"NW5",0.5160955126,"2"
