"model","percentageerror","count"
"NW1",15.0009440369,10
"NW1",-26.6248125963,10
"NW1",65.1343424124,10
"NW1",-24.2977097315,10
"NW1",-19.3976166215,10
"NW1",16.832889335,10
"NW1",-39.1154188276,10
"NW1",2.389422889,10
"NW1",-31.2676544528,10
"NW1",-46.0284171292,10
"NW1",-30.2122560094,10
"NW1",11.4421068365,10
"NW1",-29.1454367286,10
"NW1",-15.4269290337,10
"NW1",6.7521094276,10
"NW1",42.2110623663,10
"NW1",-0.1333338498,10
"NW1",2.5855771197,10
"NW1",-5.2691364494,10
"NW1",-12.6225262911,10
"NW1",-35.4183487407,10
"NW1",-35.0868982451,10
"NW1",1.990624856,10
"NW1",-28.7117384017,10
"NW1",-17.4428409233,10
"NW1",53.5316878329,10
"NW1",-4.182758483,10
"NW1",-15.7346751934,10
"NW1",-30.1363457222,10
"NW1",20.9256630675,10
"NW1",-36.6355840938,10
"NW1",-34.6604250422,10
"NW1",-26.1872830195,10
"NW1",4.4672953853,10
"NW1",11.7876807785,10
"NW1",8.093980431,10
"NW1",67.7240104321,10
"NW1",34.1739196614,10
"NW1",-14.8904538908,10
"NW1",-0.0579397044,10
"NW1",12.7957208997,10
"NW1",-38.4226743069,10
"NW1",22.79259608,10
"NW1",-30.8860927205,10
"NW1",-10.7806381182,10
"NW1",4.6535713004,10
"NW1",-9.1796991695,10
"NW1",43.9168324139,10
"NW1",10.3628556282,10
"NW1",25.4951079904,10
"NW1",61.0473338432,10
"NW1",-47.9779990785,10
"NW1",-16.5050102487,10
"NW1",93.4555357021,10
"NW1",6.8459275589,10
"NW1",-18.0673384905,10
"NW1",-36.0294938225,10
"NW1",35.1594741415,10
"NW1",-40.9159677909,10
"NW1",-12.7706209935,10
"NW1",65.5623031822,10
"NW1",-18.0061606298,10
"NW1",1.8611392485,10
"NW1",-47.0072351737,10
"NW1",-20.5547570685,10
"NW1",21.5914561046,10
"NW1",-42.5135385136,10
"NW1",-25.3787273703,10
"NW1",-29.0023043,10
"NW1",36.6429204424,10
"NW1",1.9858232225,10
"NW1",-50.8970301718,10
"NW1",-29.1081259926,10
"NW1",-19.3665234954,10
"NW1",-14.2136097847,10
"NW1",33.9664793228,10
"NW1",-0.5306160874,10
"NW1",-12.565136662,10
"NW1",-14.7464254431,10
"NW1",-17.8212274279,10
"NW1",61.5616248456,10
"NW1",-31.2638874495,10
"NW1",36.882324007,10
"NW1",9.5057333969,10
"NW1",9.4770565701,10
"NW1",-27.0531664016,10
"NW1",-48.3865759615,10
"NW1",9.338914223,10
"NW1",2.2133051234,10
"NW1",-19.9897737579,10
"NW1",-29.8808076587,10
"NW1",12.6517447423,10
"NW1",-37.7983674633,10
"NW1",-1.1348014716,10
"NW1",-9.7004187016,10
"NW1",-26.1525128531,10
"NW1",-26.4465652054,10
"NW1",-34.0557588091,10
"NW1",-27.2158195854,10
"NW1",5.9212226188,10
"NW1",53.298586667,20
"NW1",-25.5242593174,20
"NW1",-19.3706160667,20
"NW1",26.6745996252,20
"NW1",46.4050479854,20
"NW1",-28.9375151418,20
"NW1",-40.6286836664,20
"NW1",-11.0958679467,20
"NW1",25.690383208,20
"NW1",23.2980304513,20
"NW1",-10.5003254136,20
"NW1",6.7769838913,20
"NW1",-9.0429380539,20
"NW1",-7.4421268327,20
"NW1",-10.8205395175,20
"NW1",8.8792887109,20
"NW1",3.2693475919,20
"NW1",-22.1885990677,20
"NW1",-21.3412371753,20
"NW1",42.3810086646,20
"NW1",-6.7267682422,20
