namemodel,NW1,SW1,NE1,SE3,NW1,SW1,NE1,SE3,NW1,SW1,NE1,SE3,NW1,SW1,NE1,SE3
signal_angle,6.28318,2.856,6.28318,2.856,6.28318,2.856,6.28318,2.856,6.28318,2.856,6.28318,2.856,6.28318,2.856,6.28318,2.856
camera_width,2.0944,2.0944,3.49066,3.49066,2.0944,2.0944,3.49066,3.49066,2.0944,2.0944,3.49066,3.49066,2.0944,2.0944,3.49066,3.49066
Radius,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
max_angle_change,0,0,0,0,1.0472,1.0472,1.0472,1.0472,2.0944,2.0944,2.0944,2.0944,3.14159,3.14159,3.14159,3.14159
iter1,1.6534019276,0.4474580116,0.7279130877,0.6426598616,2.5912317935,2.8623073858,1.5276692765,1.0441830493,1.0649596589,1.2438445073,0.8933798854,1.2013008184,-0.3509795503,-0.7085869016,0.1763570954,0.2935092637
iter2,-0.1119248786,-1.9930812496,0.1901459953,-0.9110602993,0.2742403602,1.0126355247,1.2105245809,1.3060459978,0.6236279573,1.2695343943,0.2453015945,1.0267255194,1.0649596589,0.832806316,0.6451796889,0.6950324513
iter3,0.1087409722,-0.2204790493,0.3556127929,0.3807969132,0.4213509274,-1.2480745277,0.7692797871,-0.2651316931,0.3294068229,-0.0149599537,0.5072906908,0.4506270328,-0.8290888937,0.0621097072,0.2866682939,1.3758761173
iter4,-0.8474777146,-0.6572071277,-0.5130878949,-0.282589223,-1.9875846103,-1.2994543016,0.1487792958,-0.4746220518,-0.3693683712,-2.32704978,-1.0508549873,-1.295125957,-1.2336429534,-1.8389419278,0.0798347968,-0.2127591034
iter5,-0.8290888937,0.9355658638,-0.292465498,0.4680845627,-1.3991423415,-0.5287576929,-1.078432787,-1.295125957,1.1752925843,1.1667748465,2.492892263,1.1663857586,-2.4289163119,-1.2737644147,-0.9405437889,-0.7714000601
iter6,0.8259049872,1.4236737161,1.0450577833,0.5379146822,-1.2888094161,-0.9397958842,-2.0436557734,-1.9759696231,-1.4543088042,0.3960782377,-1.7678777773,-1.295125957,-2.3737498492,-2.2756700061,-1.8644000759,-2.0108846829
iter7,1.8372901366,3.5302444467,1.0726355829,1.4631637668,-0.9026441773,-2.4811891018,-1.7402999777,-2.3600352808,-0.8842553564,0.3190085768,-1.1197994864,-0.3524193425,-2.4656939537,-2.5839486496,-0.1407876001,0.415711973
iter8,0.4397397483,0.164869255,0.0108902978,-0.4047919322,-1.8036964013,-2.32704978,-0.6785546926,-0.439706992,-0.4980901175,0.0621097072,-1.5472553804,-1.0856355983,0.4581285692,2.2200602118,0.7417019875,0.5204571523
iter9,-0.5532565802,0.7043568812,-1.8781889757,-0.9808904189,0.2374627184,0.5759074464,-0.430354496,-0.1603865137,-1.7117522968,-2.0444610235,0.2866682939,0.1189339647,0.1271297931,1.0126355247,1.0174799837,0.9568953998
iter10,-0.8658665355,0.1391793681,-1.1060105866,-0.7015699405,-0.4613124757,-1.5563531712,-1.2438995846,-1.644276555,2.0763448083,1.0383254117,0.9761132842,0.7823201008,0.9730155544,-0.1434093885,0.0522569972,0.6775749214
