"model","percentageerror","wait"
"NW1",1.6534019276,"0"
"NW1",-0.1119248786,"0"
"NW1",0.1087409722,"0"
"NW1",-0.8474777146,"0"
"NW1",-0.8290888937,"0"
"NW1",0.8259049872,"0"
"NW1",1.8372901366,"0"
"NW1",0.4397397483,"0"
"NW1",-0.5532565802,"0"
"NW1",-0.8658665355,"0"
"NW1",-0.7187559683,"0"
"NW1",-0.1119248786,"0"
"NW1",-0.590034222,"0"
"NW1",-0.1303136995,"0"
"NW1",-0.9945882818,"0"
"NW1",-1.3623646997,"0"
"NW1",3.0141746741,"0"
"NW1",1.5430690022,"0"
"NW1",-0.8107000728,"0"
"NW1",1.1752925843,"0"
"NW1",-1.2336429534,"0"
"NW1",0.0903521513,"0"
"NW1",0.0903521513,"0"
"NW1",-0.4245348339,"0"
"NW1",3.216451704,"0"
"NW1",0.8994602708,"0"
"NW1",1.1385149425,"0"
"NW1",0.2190738975,"0"
"NW1",1.2488478679,"0"
"NW1",1.5246801813,"0"
"NW1",-3.6609673121,"0"
"NW1",2.4625100472,"0"
"NW1",1.0281820171,"0"
"NW1",1.1017373007,"0"
"NW1",-4.3413536853,"0"
"NW1",0.8259049872,"0"
"NW1",0.2742403602,"0"
"NW1",2.7199535398,"0"
"NW1",0.6604055991,"0"
"NW1",-1.4543088042,"0"
"NW1",0.9546267335,"0"
"NW1",0.0351856886,"0"
"NW1",0.0167968677,"0"
"NW1",-0.95781064,"0"
"NW1",0.1271297931,"0"
"NW1",0.9362379126,"0"
"NW1",-0.222257804,"0"
"NW1",2.131511271,"0"
"NW1",0.0719633304,"0"
"NW1",1.1936814052,"0"
"NW1",-0.1119248786,"0"
"NW1",-0.773922431,"0"
"NW1",0.3661844647,"0"
"NW1",0.1271297931,"0"
"NW1",2.0763448083,"0"
"NW1",1.4879025396,"0"
"NW1",-1.307198237,"0"
"NW1",-0.4980901175,"0"
"NW1",0.3661844647,"0"
"NW1",1.4695137187,"0"
"NW1",2.9957858532,"0"
"NW1",-1.5094752669,"0"
"NW1",-0.0015919532,"0"
"NW1",-1.1968653116,"0"
"NW1",-0.7555336101,"0"
"NW1",-0.0751472368,"0"
"NW1",-1.6198081923,"0"
"NW1",1.2120702261,"0"
"NW1",-0.0751472368,"0"
"NW1",1.5982354649,"0"
"NW1",0.0167968677,"0"
"NW1",0.4029621065,"0"
