"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
2,0.001,15.6272727272727,32.9545454545455,2,10,100,8.2,2,5e+05,"150527_100.RData"
5,0.001,7.10909090909091,36.7909090909091,2,10,100,8.8,2,5e+05,"150527_101.RData"
10,0.001,17.9909090909091,33.4909090909091,2,10,100,9,2,5e+05,"150527_102.RData"
2,0.001,16.1909090909091,34.3,2,10,100,9,2,5e+05,"150527_103.RData"
5,0.001,7.45454545454546,36.0181818181818,2,10,100,9,2,5e+05,"150527_104.RData"
10,0.001,3.82727272727273,38.6272727272727,2,10,100,9,2,5e+05,"150527_105.RData"
2,0.001,16.3545454545455,30.3818181818182,2,10,100,8.8,2,5e+05,"150527_106.RData"
5,0.001,7.49090909090909,36.0272727272727,2,10,100,9,2,5e+05,"150527_107.RData"
10,0.001,16.4909090909091,32.5909090909091,2,10,100,9,2,5e+05,"150527_108.RData"
2,0.001,17.3363636363636,33.1545454545455,2,10,100,9,2,5e+05,"150527_109.RData"
2,0.001,16.4727272727273,31.9363636363636,2,10,100,8.8,2,5e+05,"150527_10.RData"
5,0.001,8.05454545454545,34.9454545454545,2,10,100,7.6,2,5e+05,"150527_110.RData"
10,0.001,15.4181818181818,32.6545454545455,2,10,100,8.6,2,5e+05,"150527_111.RData"
2,0.001,17.4090909090909,33.3454545454545,2,10,100,9,2,5e+05,"150527_112.RData"
5,0.001,8,34.2545454545455,2,10,100,9,2,5e+05,"150527_113.RData"
10,0.001,4.12727272727273,37.4,2,10,100,8.6,2,5e+05,"150527_114.RData"
2,0.001,29.4272727272727,30.6818181818182,2,10,100,9,2,5e+05,"150527_115.RData"
5,0.001,21.0090909090909,32.1363636363636,2,10,100,8.6,2,5e+05,"150527_116.RData"
10,0.001,17.8727272727273,33.6636363636364,2,10,100,8.2,2,5e+05,"150527_117.RData"
2,0.001,15.7454545454545,34.3818181818182,2,10,100,8.4,2,5e+05,"150527_118.RData"
5,0.001,7.53636363636364,34.4272727272727,2,10,100,8.8,2,5e+05,"150527_119.RData"
5,0.001,7.65454545454545,35.6272727272727,2,10,100,9,2,5e+05,"150527_11.RData"
10,0.001,4.01818181818182,37.8454545454545,2,10,100,9,2,5e+05,"150527_120.RData"
2,0.001,16.5909090909091,33.4090909090909,2,10,100,8.4,2,5e+05,"150527_121.RData"
5,0.001,7.28181818181818,34.3909090909091,2,10,100,8.4,2,5e+05,"150527_122.RData"
10,0.001,18.7,31.9636363636364,2,10,100,8.8,2,5e+05,"150527_123.RData"
2,0.001,16.9818181818182,31.0090909090909,2,10,100,8.8,2,5e+05,"150527_124.RData"
5,0.001,7.38181818181818,34.6272727272727,2,10,100,9,2,5e+05,"150527_125.RData"
10,0.001,18.2090909090909,32.2363636363636,2,10,100,9,2,5e+05,"150527_126.RData"
2,0.001,16.3818181818182,31.4181818181818,2,10,100,9,2,5e+05,"150527_127.RData"
5,0.001,33.7181818181818,27.7454545454545,2,10,100,9,2,5e+05,"150527_128.RData"
10,0.001,31.6909090909091,30.1272727272727,2,10,100,8.8,2,5e+05,"150527_129.RData"
